rep,model,T,tag,acc,macro_f1,ece,nll,brier
0,xgb,1.61573026439087,raw,0.8240177623322714,0.8091256714647956,0.04322747429411782,0.45954865210782475,0.26946536063577065
0,xgb,1.61573026439087,temp_scaled,0.8240177623322714,0.8091256714647956,0.04248070666602938,0.4454754162250362,0.2689391627795911
0,logreg,1.7655091033445736,raw,0.7039289506709142,0.6912652159411051,0.08210400163159427,1.4189296665375055,0.43309353146003465
0,logreg,1.7655091033445736,temp_scaled,0.7039289506709142,0.6912652159411051,0.12711655098458693,1.083887440164389,0.44266782225161083
1,xgb,1.5228234116422494,raw,0.8084865629420085,0.7672318821623549,0.06356151805319653,0.5146262522736141,0.29369787579124274
1,xgb,1.5228234116422494,temp_scaled,0.8084865629420085,0.7672318821623549,0.03448651643015341,0.473150640878415,0.28584126643960417
1,logreg,1.6717220626764315,raw,0.6504479019330505,0.640396435110805,0.08197897480538968,1.036933742684047,0.45100458257711934
1,logreg,1.6717220626764315,temp_scaled,0.6504479019330505,0.640396435110805,0.061586179740892956,0.893576609521516,0.44929290221330065
2,xgb,1.6304176978035794,raw,0.7945425361155698,0.7400489136300928,0.05837431806906657,0.5340131340270804,0.30907377545263487
2,xgb,1.6304176978035794,temp_scaled,0.7945425361155698,0.7400489136300928,0.03912964551146223,0.5002345019948228,0.3035320098601819
2,logreg,1.6148163939593405,raw,0.6650930034935323,0.6152499601270182,0.08947537623699969,1.698785539826922,0.4740822591998764
2,logreg,1.6148163939593405,temp_scaled,0.6650930034935323,0.6152499601270182,0.09791133199779681,1.293921465973702,0.47513243150593615
3,xgb,1.7161762046537248,raw,0.8280415574327604,0.8036115401729343,0.027078459927619983,0.428307191270193,0.2590642217450588
3,xgb,1.7161762046537248,temp_scaled,0.8280415574327604,0.8036115401729343,0.08829587764034892,0.45413858792038486,0.2728773832315031
3,logreg,3.190113057637669,raw,0.6410331100106806,0.6445704789501663,0.08934416547908272,1.093850162628326,0.4799845329259252
3,logreg,3.190113057637669,temp_scaled,0.6410331100106806,0.6445704789501663,0.1487497838244345,0.9132379337495884,0.4966001685325035
4,xgb,1.5363227938294435,raw,0.8272251308900523,0.8094005256994025,0.025827912612671068,0.42870528993835716,0.2558643032940692
4,xgb,1.5363227938294435,temp_scaled,0.8272251308900523,0.8094005256994025,0.05088944287552718,0.43210059041973353,0.2607236625719569
4,logreg,2.572257748999084,raw,0.6970698998805915,0.6445422671862685,0.06308033641542263,1.043448782545378,0.4292782210230314
4,logreg,2.572257748999084,temp_scaled,0.6970698998805915,0.6445422671862685,0.17705406066740523,0.8939728137394128,0.47426882047611607
