flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,rep,aggregation
f148656514407084_gps_degrade,gps_degrade,no_fix_then_ok,0.6813646479036597,0.25447102494664353,0.04027971670650603,0.023884610443190627,nominal,0.6813646479036597,0.6813646479036597,0.2947507416531496,0.023884610443190627,gnss_chain,nominal,0.6813646479036597,0,rule
f162578072652318_gps_degrade,gps_degrade,no_fix_then_ok,0.0013624784833110525,0.1666699471367203,0.8226272387916046,0.009340335588364024,gps_degrade,0.8226272387916046,0.0013624784833110525,0.9892971859283248,0.009340335588364024,gnss_chain,gnss_chain,0.9892971859283248,0,rule
f187049508766390_gps_degrade,gps_degrade,no_fix_then_ok,0.41881240826670846,0.5371891939257266,0.029115727761030025,0.014882670046534959,spoof,0.5371891939257266,0.41881240826670846,0.5663049216867566,0.014882670046534959,gnss_chain,gnss_chain,0.5663049216867566,0,rule
f20260909001_nominal,nominal,none,0.29576367211195015,0.6725963083568618,0.009960883101208927,0.021679136429979196,spoof,0.6725963083568618,0.29576367211195015,0.6825571914580707,0.021679136429979196,nominal,gnss_chain,0.6825571914580707,0,rule
f20260909004_nominal,nominal,none,0.7007521477615583,0.28147763410323323,0.005004160619202611,0.012766057516005859,nominal,0.7007521477615583,0.7007521477615583,0.28648179472243585,0.012766057516005859,nominal,nominal,0.7007521477615583,0,rule
f20260909007_nominal,nominal,none,0.4978386934258116,0.47733950301596645,0.0047587986672797886,0.020063004890942232,nominal,0.4978386934258116,0.4978386934258116,0.48209830168324624,0.020063004890942232,nominal,nominal,0.4978386934258116,0,rule
f20260909013_nominal,nominal,none,0.6074235291540971,0.36512854651243837,0.006194623198849637,0.021253301134614964,nominal,0.6074235291540971,0.6074235291540971,0.371323169711288,0.021253301134614964,nominal,nominal,0.6074235291540971,0,rule
f20260909017_nominal,nominal,none,0.6388122973176122,0.3433181293585658,0.004715917904403356,0.013153655419418441,nominal,0.6388122973176122,0.6388122973176122,0.34803404726296916,0.013153655419418441,nominal,nominal,0.6388122973176122,0,rule
f20260909019_nominal,nominal,none,0.42480534029600225,0.5304386030672704,0.01168171369350814,0.03307434294321936,spoof,0.5304386030672704,0.42480534029600225,0.5421203167607785,0.03307434294321936,nominal,gnss_chain,0.5421203167607785,0,rule
f20260909022_nominal,nominal,none,0.7126365164706768,0.2703336650638309,0.004700289021735726,0.012329529443756614,nominal,0.7126365164706768,0.7126365164706768,0.27503395408556663,0.012329529443756614,nominal,nominal,0.7126365164706768,0,rule
f20260909026_nominal,nominal,none,0.6384943174560973,0.3192260788942036,0.007125523415662372,0.035154080234036635,nominal,0.6384943174560973,0.6384943174560973,0.326351602309866,0.035154080234036635,nominal,nominal,0.6384943174560973,0,rule
f20260909027_nominal,nominal,none,0.5968864265209675,0.382093023948,0.006060447042073507,0.01496010248895906,nominal,0.5968864265209675,0.5968864265209675,0.38815347099007347,0.01496010248895906,nominal,nominal,0.5968864265209675,0,rule
f20260909031_nominal,nominal,none,0.1078457200672691,0.8663007826237535,0.012490364871216077,0.013363132437761034,spoof,0.8663007826237535,0.1078457200672691,0.8787911474949697,0.013363132437761034,nominal,gnss_chain,0.8787911474949697,0,rule
f20260909035_nominal,nominal,none,0.5789750278540242,0.39057061276212035,0.0056276150304966745,0.024826744353358642,nominal,0.5789750278540242,0.5789750278540242,0.39619822779261704,0.024826744353358642,nominal,nominal,0.5789750278540242,0,rule
f20260909037_nominal,nominal,none,0.4316297462262595,0.5433254291258763,0.004708531785163604,0.02033629286270051,spoof,0.5433254291258763,0.4316297462262595,0.54803396091104,0.02033629286270051,nominal,gnss_chain,0.54803396091104,0,rule
f20260909040_nominal,nominal,none,0.6088517768909384,0.3708064686837963,0.004614501280096719,0.015727253145168527,nominal,0.6088517768909384,0.6088517768909384,0.375420969963893,0.015727253145168527,nominal,nominal,0.6088517768909384,0,rule
f20260909042_nominal,nominal,none,0.3839749702331441,0.5947283525699497,0.011560547328519891,0.009736129868386147,spoof,0.5947283525699497,0.3839749702331441,0.6062888998984696,0.009736129868386147,nominal,gnss_chain,0.6062888998984696,0,rule
f20260909043_nominal,nominal,none,0.3560936238201362,0.6201126427193453,0.005717605054414295,0.0180761284061043,spoof,0.6201126427193453,0.3560936238201362,0.6258302477737596,0.0180761284061043,nominal,gnss_chain,0.6258302477737596,0,rule
f20260909044_nominal,nominal,none,0.7774880139146118,0.19315623579992275,0.010630438530176579,0.018725311755288944,nominal,0.7774880139146118,0.7774880139146118,0.20378667433009934,0.018725311755288944,nominal,nominal,0.7774880139146118,0,rule
f20260909046_nominal,nominal,none,0.5305752894291713,0.43706082148339886,0.005527661997084085,0.026836227090345794,nominal,0.5305752894291713,0.5305752894291713,0.44258848348048296,0.026836227090345794,nominal,nominal,0.5305752894291713,0,rule
f20260909047_nominal,nominal,none,0.43645720629085655,0.5298842578336456,0.007685855750359029,0.025972680125138908,spoof,0.5298842578336456,0.43645720629085655,0.5375701135840046,0.025972680125138908,nominal,gnss_chain,0.5375701135840046,0,rule
