rep,aggregation,flight_acc,flight_macro_f1,aurc,coarse_acc,coarse_macro_f1
0,rule,0.6727272727272727,0.6752610134963076,0.17251542557804392,0.7909090909090909,0.746291979625313
0,stacked,0.9727272727272728,0.9622878692646134,0.004195459047573461,0.9727272727272728,0.965979965979966
1,rule,0.6090909090909091,0.6128289699718271,0.2675926451924899,0.7,0.674126711862561
1,stacked,0.8818181818181818,0.862259600892265,0.04399745468774597,0.9272727272727272,0.911045218680504
2,rule,0.5454545454545454,0.5513795901805639,0.2594396998313811,0.6727272727272727,0.6292232671543015
2,stacked,0.9363636363636364,0.9164921648637125,0.0037557843257311077,0.9454545454545454,0.9317060427545356
3,rule,0.6363636363636364,0.6472943722943723,0.17614563785988477,0.7272727272727273,0.692197327693511
3,stacked,0.9,0.8783145528650204,0.038793732256246376,0.9363636363636364,0.9236224768139661
4,rule,0.6727272727272727,0.6650713693156582,0.15888918286196516,0.7363636363636363,0.6848630746560452
4,stacked,0.9454545454545454,0.9258241758241759,0.00493700456736682,0.9454545454545454,0.9318435361600829
