,nominal,spoof,gps_degrade,sensor_fault
max_nominal,-0.04351138997069158,0.0734356963275253,0.027647125468072416,-0.057571431824906094
p90_nominal,0.05098399398440795,0.0845252182368376,0.005926089108870264,-0.141435301330116
mean_nominal,0.21021825449432618,-0.07061350906374318,-0.04614838965236174,-0.09345635577822145
frac_nominal,0.26294220583200106,-0.09440773288883458,-0.043179842574227974,-0.12535463036893885
run_nominal,-0.02508517710899581,-0.07228002967335373,0.08134997981928596,0.0160152269630635
max_spoof,-0.4455773120939917,0.7121856499356127,-0.08152971609127092,-0.18507862175035028
p90_spoof,0.030430785891055794,0.024144579794569573,-0.029148365191356957,-0.025427000494268336
mean_spoof,-0.09146536819050331,0.1399825093234488,-0.05436348784673819,0.005846346713792786
frac_spoof,-0.14763573313914793,0.15069186546208757,-0.04343200180648003,0.040375869483540515
run_spoof,-0.012379183277908806,0.16978589018748896,-0.03849877015469607,-0.11890793675488391
max_gps_degrade,-0.41554350585725813,0.0068273447529380825,0.5234354707068768,-0.11471930960255657
p90_gps_degrade,-0.1479904118611541,-0.07993703660830716,0.27207869926685074,-0.0441512507973895
mean_gps_degrade,-0.14792339340312077,-0.07131268698477447,0.26500247482050904,-0.04576639443261364
frac_gps_degrade,-0.10686474075836735,-0.11427866277713036,0.25638115927912736,-0.03523775574362951
run_gps_degrade,-0.13316334671624092,-0.15342000134739978,0.33149442227726666,-0.044911074213626015
max_sensor_fault,-0.4217931889000151,-0.3089297719244442,-0.03194580383404772,0.7626687646585067
p90_sensor_fault,-0.05459276834569742,-0.05268828763137687,-0.011886143604828881,0.11916719958190322
mean_sensor_fault,-0.13632014706986542,-0.09078783195507867,-0.016789911806361867,0.2438978908313061
frac_sensor_fault,-0.13320756186024538,-0.09100117706866381,-0.019395260515285857,0.24360399944419517
run_sensor_fault,-0.18128965199758423,-0.12355289120042857,-0.024937614943635063,0.32978015814164785
gps_gap_frac_max,-0.15433544131039062,-0.14289830464814177,0.3597597472930029,-0.06252600133447042
gps_nofix_frac_max,-0.04946932515350814,-0.041867962184023874,0.10919164143434948,-0.017854354096817356
gps_silent_frac_max,-0.13345214344110026,-0.16334741755446758,0.34109833652132276,-0.04429877552575482
baro_gap_frac_max,-0.25147616974165565,-0.17572113674505693,-0.025093487932482082,0.45229079441919473
mag_gap_frac_max,-0.2298869848009756,-0.08765487423629614,-0.01217930310293429,0.3297211621402061
posvel_rms_max,-0.35100036487333436,0.16475256316269649,0.25189187413555,-0.06564407242491212
step_minus_vel_max_max,-0.33121227757800736,0.1293128494855,0.2629855168398166,-0.061086088747309544
gps_ekf_dpos_rms_max,-0.39282367001754326,0.10417930818723384,0.3672928518794439,-0.07864849004913485
gps_baro_dz_rms_max,0.017718528472772273,-0.2115753257562383,0.2559714138402091,-0.062114616556743295
tr_gpsHpos0_absmax_max,-0.11448030103650425,0.011835383868107624,0.1287735486062425,-0.02612863143784593
tr_baroVpos_absmax_max,-0.08065639279710486,-0.07573904631894689,0.14463592483135346,0.011759514284698297
tr_heading_absmax_max,-0.03617974707351654,-0.08095194589693237,0.008031599936536491,0.10910009303391223
