flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,set_fine_a0.1,set_coarse_a0.1,set_fine_a0.2,set_coarse_a0.2,rep,aggregation
f103716604252706_gps_degrade,gps_degrade,no_fix_then_ok,0.0038507420322557817,0.023896562005267803,0.9693199384742103,0.0029327574882661795,gps_degrade,0.9693199384742103,0.0038507420322557817,0.9932165004794781,0.0029327574882661795,gnss_chain,gnss_chain,0.9932165004794781,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f105048958709988_gps_degrade,gps_degrade,no_fix_then_ok,0.07138534786270263,0.2289074282401014,0.6756070661779093,0.02410015771928671,gps_degrade,0.6756070661779093,0.07138534786270263,0.9045144944180108,0.02410015771928671,gnss_chain,gnss_chain,0.9045144944180108,,gnss_chain,,gnss_chain,0,stacked
f115936881981907_gps_degrade,gps_degrade,no_fix_then_ok,0.021174325398849673,0.008242411002784462,0.9647086086398026,0.005874654958563335,gps_degrade,0.9647086086398026,0.021174325398849673,0.972951019642587,0.005874654958563335,gnss_chain,gnss_chain,0.972951019642587,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f125406956954866_gps_degrade,gps_degrade,no_fix_then_ok,0.006402618426772303,0.022123657939167554,0.9680430646309439,0.003430659003116246,gps_degrade,0.9680430646309439,0.006402618426772303,0.9901667225701115,0.003430659003116246,gnss_chain,gnss_chain,0.9901667225701115,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f138645354163671_gps_degrade,gps_degrade,no_fix_then_ok,0.0006145330166528981,0.0005442244510715142,0.9981872423711887,0.0006540001610868646,gps_degrade,0.9981872423711887,0.0006145330166528981,0.9987314668222602,0.0006540001610868646,gnss_chain,gnss_chain,0.9987314668222602,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f152849246098291_gps_degrade,gps_degrade,no_fix_then_ok,0.011157846598923705,0.034356054635614766,0.9501392733230373,0.004346825442424351,gps_degrade,0.9501392733230373,0.011157846598923705,0.984495327958652,0.004346825442424351,gnss_chain,gnss_chain,0.984495327958652,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f153363458695622_gps_degrade,gps_degrade,no_fix_then_ok,0.00944832081065517,0.0033167059599442167,0.98407158043273,0.003163392796670621,gps_degrade,0.98407158043273,0.00944832081065517,0.9873882863926743,0.003163392796670621,gnss_chain,gnss_chain,0.9873882863926743,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f157545489308718_gps_degrade,gps_degrade,no_fix_then_ok,0.006727290534252516,0.06770353751305291,0.9190519356219896,0.006517236330705024,gps_degrade,0.9190519356219896,0.006727290534252516,0.9867554731350425,0.006517236330705024,gnss_chain,gnss_chain,0.9867554731350425,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f164363336037972_gps_degrade,gps_degrade,no_fix_then_ok,0.003482249516084734,0.007761222033463892,0.9866520392549134,0.002104489195538,gps_degrade,0.9866520392549134,0.003482249516084734,0.9944132612883773,0.002104489195538,gnss_chain,gnss_chain,0.9944132612883773,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f179117136627038_gps_degrade,gps_degrade,no_fix_then_ok,0.007490130142284109,0.41033627818991164,0.5628797997701859,0.019293791897618484,gps_degrade,0.5628797997701859,0.007490130142284109,0.9732160779600976,0.019293791897618484,gnss_chain,gnss_chain,0.9732160779600976,spoof,gnss_chain,,gnss_chain,0,stacked
f179243424651613_gps_degrade,gps_degrade,no_fix_then_ok,0.07478073091606434,0.10951871102483628,0.7973736192514685,0.018326938807630942,gps_degrade,0.7973736192514685,0.07478073091606434,0.9068923302763048,0.018326938807630942,gnss_chain,gnss_chain,0.9068923302763048,gps_degrade,gnss_chain,,gnss_chain,0,stacked
f198225816701839_gps_degrade,gps_degrade,no_fix_then_ok,0.0037843339903031303,0.00875243263907719,0.9851692295070168,0.0022940038636029927,gps_degrade,0.9851692295070168,0.0037843339903031303,0.993921662146094,0.0022940038636029927,gnss_chain,gnss_chain,0.993921662146094,gps_degrade,gnss_chain,gps_degrade,gnss_chain,0,stacked
f20260909002_nominal,nominal,none,0.8181067116562765,0.1339308435132351,0.018727396294327802,0.02923504853616074,nominal,0.8181067116562765,0.8181067116562765,0.15265823980756288,0.02923504853616074,nominal,nominal,0.8181067116562765,nominal,nominal,nominal,nominal,0,stacked
f20260909003_nominal,nominal,none,0.8590903060285979,0.10781625031528257,0.010575716255280273,0.022517727400839085,nominal,0.8590903060285979,0.8590903060285979,0.11839196657056283,0.022517727400839085,nominal,nominal,0.8590903060285979,nominal,nominal,nominal,nominal,0,stacked
f20260909008_nominal,nominal,none,0.8561378007704649,0.10630009356132625,0.010200358639032462,0.02736174702917644,nominal,0.8561378007704649,0.8561378007704649,0.1165004522003587,0.02736174702917644,nominal,nominal,0.8561378007704649,nominal,nominal,nominal,nominal,0,stacked
f20260909009_nominal,nominal,none,0.704138900191731,0.25178320682197913,0.01186073008295362,0.03221716290333623,nominal,0.704138900191731,0.704138900191731,0.26364393690493276,0.03221716290333623,nominal,nominal,0.704138900191731,nominal,nominal,nominal,nominal,0,stacked
f20260909010_nominal,nominal,none,0.7984427615707514,0.16742222449654226,0.010260424603579045,0.023874589329127328,nominal,0.7984427615707514,0.7984427615707514,0.1776826491001213,0.023874589329127328,nominal,nominal,0.7984427615707514,nominal,nominal,nominal,nominal,0,stacked
f20260909014_nominal,nominal,none,0.7911576079140603,0.15967583695576165,0.016600073797217656,0.03256648133296056,nominal,0.7911576079140603,0.7911576079140603,0.1762759107529793,0.03256648133296056,nominal,nominal,0.7911576079140603,nominal,nominal,nominal,nominal,0,stacked
f20260909015_nominal,nominal,none,0.4197274620681202,0.5406331813097041,0.010283094021527151,0.02935626260064871,spoof,0.5406331813097041,0.4197274620681202,0.5509162753312312,0.02935626260064871,nominal,gnss_chain,0.5509162753312312,"nominal,spoof",nominal,nominal,nominal,0,stacked
f20260909016_nominal,nominal,none,0.8744613059175641,0.08636512916248561,0.009717444017387184,0.02945612090256312,nominal,0.8744613059175641,0.8744613059175641,0.09608257317987279,0.02945612090256312,nominal,nominal,0.8744613059175641,nominal,nominal,nominal,nominal,0,stacked
f20260909023_nominal,nominal,none,0.8250122163284933,0.12003855521768478,0.02794630173283715,0.027002926720984678,nominal,0.8250122163284933,0.8250122163284933,0.14798485695052194,0.027002926720984678,nominal,nominal,0.8250122163284933,nominal,nominal,nominal,nominal,0,stacked
f20260909024_nominal,nominal,none,0.6413519207123203,0.312111677408485,0.011062297596511542,0.03547410428268315,nominal,0.6413519207123203,0.6413519207123203,0.32317397500499656,0.03547410428268315,nominal,nominal,0.6413519207123203,nominal,nominal,nominal,nominal,0,stacked
f20260909029_nominal,nominal,none,0.23432177378350869,0.7080664093715839,0.011365237993208295,0.046246578851699034,spoof,0.7080664093715839,0.23432177378350869,0.7194316473647923,0.046246578851699034,nominal,gnss_chain,0.7194316473647923,"nominal,spoof",nominal,,,0,stacked
f20260909030_nominal,nominal,none,0.9128345692975718,0.05753646882020048,0.01053883241334758,0.01909012946888015,nominal,0.9128345692975718,0.9128345692975718,0.06807530123354806,0.01909012946888015,nominal,nominal,0.9128345692975718,nominal,nominal,nominal,nominal,0,stacked
f20260909034_nominal,nominal,none,0.8744983414536152,0.09641833512480878,0.009090991124782713,0.019992332296793352,nominal,0.8744983414536152,0.8744983414536152,0.1055093262495915,0.019992332296793352,nominal,nominal,0.8744983414536152,nominal,nominal,nominal,nominal,0,stacked
f20260909036_nominal,nominal,none,0.9483848403633182,0.02559837980463262,0.009990672719759395,0.01602610711228989,nominal,0.9483848403633182,0.9483848403633182,0.03558905252439201,0.01602610711228989,nominal,nominal,0.9483848403633182,nominal,nominal,nominal,nominal,0,stacked
f20260909039_nominal,nominal,none,0.84104181465642,0.12842350297608549,0.009494019007384736,0.0210406633601096,nominal,0.84104181465642,0.84104181465642,0.1379175219834702,0.0210406633601096,nominal,nominal,0.84104181465642,nominal,nominal,nominal,nominal,0,stacked
