flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,set_fine_a0.1,set_coarse_a0.1,set_fine_a0.2,set_coarse_a0.2,rep,aggregation
f105048958709988_gps_degrade,gps_degrade,no_fix_then_ok,0.598090887125498,0.37083821358555324,0.00799867861738474,0.023072220671563937,nominal,0.598090887125498,0.598090887125498,0.378836892202938,0.023072220671563937,gnss_chain,nominal,0.598090887125498,"nominal,spoof","nominal,gnss_chain",nominal,nominal,1,rule
f125406956954866_gps_degrade,gps_degrade,no_fix_then_ok,0.0029431819207802763,0.2217352767748137,0.7603340027324536,0.014987538571952461,gps_degrade,0.7603340027324536,0.0029431819207802763,0.9820692795072672,0.014987538571952461,gnss_chain,gnss_chain,0.9820692795072672,gps_degrade,gnss_chain,gps_degrade,gnss_chain,1,rule
f137476638112559_gps_degrade,gps_degrade,no_fix_then_ok,0.0011319103149368959,0.24833912785607984,0.7329793843402823,0.01754957748870096,gps_degrade,0.7329793843402823,0.0011319103149368959,0.9813185121963621,0.01754957748870096,gnss_chain,gnss_chain,0.9813185121963621,gps_degrade,gnss_chain,gps_degrade,gnss_chain,1,rule
f138645354163671_gps_degrade,gps_degrade,no_fix_then_ok,0.000584039897815679,0.41125202971388747,0.5839158130207985,0.004248117367498247,gps_degrade,0.5839158130207985,0.000584039897815679,0.995167842734686,0.004248117367498247,gnss_chain,gnss_chain,0.995167842734686,"spoof,gps_degrade",gnss_chain,"spoof,gps_degrade",gnss_chain,1,rule
f148656514407084_gps_degrade,gps_degrade,no_fix_then_ok,0.4687280278745887,0.41316943592469585,0.07912784431943043,0.03897469188128512,nominal,0.4687280278745887,0.4687280278745887,0.4922972802441263,0.03897469188128512,gnss_chain,gnss_chain,0.4922972802441263,"nominal,spoof,gps_degrade","nominal,gnss_chain","nominal,spoof",nominal,1,rule
f154051046525415_gps_degrade,gps_degrade,no_fix_then_ok,0.0006108696742304919,0.35989463440556824,0.6246941098708181,0.014800386049383189,gps_degrade,0.6246941098708181,0.0006108696742304919,0.9845887442763863,0.014800386049383189,gnss_chain,gnss_chain,0.9845887442763863,"spoof,gps_degrade",gnss_chain,gps_degrade,gnss_chain,1,rule
f162578072652318_gps_degrade,gps_degrade,no_fix_then_ok,0.0007777822903519359,0.25304837265901897,0.7404950376926203,0.00567880735800882,gps_degrade,0.7404950376926203,0.0007777822903519359,0.9935434103516392,0.00567880735800882,gnss_chain,gnss_chain,0.9935434103516392,gps_degrade,gnss_chain,gps_degrade,gnss_chain,1,rule
f179117136627038_gps_degrade,gps_degrade,no_fix_then_ok,0.31285705171044165,0.5374060029570108,0.13953486048833824,0.010202084844209345,spoof,0.5374060029570108,0.31285705171044165,0.6769408634453491,0.010202084844209345,gnss_chain,gnss_chain,0.6769408634453491,"nominal,spoof,gps_degrade","nominal,gnss_chain","nominal,spoof,gps_degrade","nominal,gnss_chain",1,rule
f179243424651613_gps_degrade,gps_degrade,no_fix_then_ok,0.32747649611270735,0.6445761290285866,0.01395591321162726,0.01399146164707863,spoof,0.6445761290285866,0.32747649611270735,0.6585320422402139,0.01399146164707863,gnss_chain,gnss_chain,0.6585320422402139,"nominal,spoof,gps_degrade","nominal,gnss_chain","nominal,spoof","nominal,gnss_chain",1,rule
f187049508766390_gps_degrade,gps_degrade,no_fix_then_ok,0.6115135699397248,0.35280109702087786,0.018664536620017436,0.017020796419379803,nominal,0.6115135699397248,0.6115135699397248,0.3714656336408953,0.017020796419379803,gnss_chain,nominal,0.6115135699397248,"nominal,spoof,gps_degrade","nominal,gnss_chain",nominal,nominal,1,rule
