held_out_subtype,family,n_train,n_cal,rank_alpha0.1,rank_alpha0.2,control_n_train,control_n_cal
drift_coherent,nominal,20,20,19,17,20,20
drift_coherent,spoof,20,20,19,17,20,20
drift_coherent,gps_degrade,20,20,19,17,20,20
drift_coherent,sensor_fault,20,20,19,17,20,20
drift_incoherent,nominal,20,20,19,17,20,20
drift_incoherent,spoof,19,19,18,16,20,20
drift_incoherent,gps_degrade,20,20,19,17,20,20
drift_incoherent,sensor_fault,20,20,19,17,20,20
jump,nominal,20,20,19,17,20,20
jump,spoof,19,20,19,17,20,20
jump,gps_degrade,20,20,19,17,20,20
jump,sensor_fault,20,20,19,17,20,20
no_fix_then_ok,nominal,20,20,19,17,20,20
no_fix_then_ok,spoof,20,20,19,17,20,20
no_fix_then_ok,gps_degrade,20,20,19,17,20,20
no_fix_then_ok,sensor_fault,20,20,19,17,20,20
off_then_ok,nominal,20,20,19,17,20,20
off_then_ok,spoof,20,20,19,17,20,20
off_then_ok,gps_degrade,20,20,19,17,20,20
off_then_ok,sensor_fault,20,20,19,17,20,20
stuck_then_ok,nominal,20,20,19,17,20,20
stuck_then_ok,spoof,20,20,19,17,20,20
stuck_then_ok,gps_degrade,20,20,19,17,20,20
stuck_then_ok,sensor_fault,20,20,19,17,20,20
baro_stuck,nominal,20,20,19,17,20,20
baro_stuck,spoof,20,20,19,17,20,20
baro_stuck,gps_degrade,20,20,19,17,20,20
baro_stuck,sensor_fault,15,16,16,14,20,20
mag_stuck,nominal,20,20,19,17,20,20
mag_stuck,spoof,20,20,19,17,20,20
mag_stuck,gps_degrade,20,20,19,17,20,20
mag_stuck,sensor_fault,14,15,15,13,20,20
