feature,importance
baro_gap_frac_rmax3,0.11281965
mag_gap_frac_rmax3,0.094303474
gps_ekf_dpos_rms_rel,0.06886881
gps_gap_frac_d1,0.03917718
gps_baro_dz_rms_d1,0.036714766
baro_gap_frac,0.034767594
gps_gap_frac_rmax3,0.029274248
gps_ekf_dpos_rms,0.027145319
mag_norm_mean_rel,0.027003866
gps_baro_dz_rms,0.024259875
gps_gap_frac,0.018324196
gps_nofix_frac_rmax3,0.016766194
step_speed_max,0.016527344
mag_gap_frac,0.015687063
mag_raw_std,0.0133739505
inn_gpsHpos0_absmax_rmax3,0.0131268045
tr_baroVpos_absmax,0.01286733
gps_baro_dz_rms_rel,0.012446623
posvel_rms_d1,0.0124049
mag_gap_frac_d1,0.012346729
tr_baroVpos_absmean,0.0101630315
tr_baroVpos_absmax_rmax3,0.0096474355
baro_gap_frac_d1,0.009082665
inn_gpsHpos0_absmax,0.009012381
posvel_rms_rmax3,0.008497623
inn_heading_absmean,0.00821869
tr_gpsHpos0_absmax_rmax3,0.008057608
mag_norm_std_rel,0.0077465093
tr_gpsVpos_absmax,0.0076267957
baro_raw_std_rmax3,0.0068207067
step_speed_max_rmax3,0.006804991
gps_silent_frac_d1,0.0061389683
gyro_std_mean_rel,0.0059605474
tr_gpsHpos0_absmax_d1,0.005857424
posvel_rms,0.0053502508
tr_gpsHvel0_absmax_rmax3,0.0052242386
tr_baroVpos_absmax_d1,0.0051397183
inn_mag0_absmean,0.005049145
gps_silent_frac,0.0049700607
mag_norm_mean,0.0049394784
acc_horiz_rms_rel,0.004782854
gps_baro_dz_rms_rmax3,0.0045837243
tr_gpsVpos_absmax_d1,0.0044899555
gps_speed_mean,0.004419603
step_speed_max_d1,0.004357995
baro_std,0.004327907
mag_norm_std,0.00431213
baro_raw_std_d1,0.0041939565
inn_gpsVpos_absmean,0.0040782806
posvel_rms_rel,0.0040198616
baro_std_rel,0.004010437
baro_raw_std_rel,0.0038514622
inn_gpsHpos0_absmax_rel,0.0038098474
tr_gpsHpos1_absmax_rmax3,0.00373754
inn_gpsVvel_absmax,0.0035994651
tr_gpsVpos_absmax_rmax3,0.0035961177
inn_gpsVpos_absmax,0.003517012
cog_yaw_absdiff_deg,0.0034744546
inn_baroVpos_absmax_rel,0.0034696027
dv_gps_imu_vecdiff,0.0034575858
inn_gpsHvel0_absmax_rmax3,0.003429168
gps_nofix_frac,0.0034269255
dv_gps_imu_vecdiff_rmax3,0.0033112525
inn_gpsHvel0_absmax_rel,0.0032996053
tr_gpsHvel1_absmax,0.0032875403
inn_gpsHvel1_absmax,0.0032557996
inn_baroVpos_absmean,0.0032428463
gps_ekf_dpos_rms_rmax3,0.003139597
gps_silent_frac_rmax3,0.0030683097
tr_gpsHpos0_absmean,0.0030580217
inn_gpsHvel0_absmax_d1,0.0030216975
acc_horiz_rms,0.0029436317
inn_baroVpos_absmax,0.00289299
inn_gpsHpos1_absmax,0.002878598
tr_gpsHpos1_absmean,0.002852324
tr_heading_absmax_rmax3,0.0027745082
tr_heading_absmean,0.002768701
inn_mag0_absmax,0.0027062525
tr_gpsHvel0_absmean,0.0026971782
inn_gpsHpos0_absmax_d1,0.0026799135
inn_gpsVvel_absmean,0.0026539566
step_minus_vel_max_d1,0.0026222172
mag_raw_std_d1,0.0025575655
step_minus_vel_max_rmax3,0.0025568777
inn_heading_absmax,0.0025078035
inn_gpsHpos0_absmean,0.0024897775
tr_heading_absmax_d1,0.0024716428
inn_heading_absmax_rel,0.0024680928
tr_gpsHpos1_absmax,0.0024562252
tr_gpsVvel_absmax,0.002451357
inn_gpsHvel0_absmax,0.002351753
baro_raw_std,0.002331749
tr_gpsVvel_absmean,0.002315099
tr_mag2_absmax,0.0023124798
tr_gpsHvel1_absmean,0.0022677365
tr_gpsHpos0_absmax,0.0022665323
tr_gpsVpos_absmean,0.0022223701
inn_gpsHvel1_absmean,0.0021936987
tr_heading_absmax,0.0021281159
inn_gpsHpos1_absmean,0.0020717788
tr_gpsHvel0_absmax,0.0020570438
inn_gpsHvel0_absmean,0.002022447
tr_gpsHpos1_absmax_d1,0.001954247
tr_mag0_absmean,0.0019382384
gps_ekf_dpos_rms_d1,0.0019059558
mag_raw_std_rel,0.0018931007
tr_mag0_absmax,0.0017885357
dv_gps_imu_vecdiff_d1,0.0017845038
mag_raw_std_rmax3,0.001719052
tr_mag1_absmax,0.0017041975
inn_mag1_absmean,0.001676528
tr_mag2_absmean,0.001661652
step_minus_vel_max,0.0016266339
gyro_std_mean,0.0015962285
inn_mag2_absmax,0.0015782191
tr_mag1_absmean,0.0015616523
inn_mag2_absmean,0.0015384869
tr_gpsHvel0_absmax_d1,0.0015280414
inn_mag1_absmax,0.0013062496
gps_nofix_frac_d1,0.00012325871
