flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,gate_mahal,gate_iso,held_out_subtype
f20260909102_spoof,spoof,drift_coherent,0.706830477383103,0.17573427352386067,0.03366388231401912,0.0837713667790173,nominal,0.706830477383103,0.706830477383103,0.2093981558378798,0.0837713667790173,gnss_chain,nominal,0.706830477383103,False,False,jump
f20260909103_spoof,spoof,drift_incoherent,0.04778139500351563,0.9340541197975839,0.011554642525682703,0.0066098426732177085,spoof,0.9340541197975839,0.04778139500351563,0.9456087623232666,0.0066098426732177085,gnss_chain,gnss_chain,0.9456087623232666,False,False,jump
f20260909108_spoof,spoof,drift_incoherent,0.9999902743281269,1.2090277653592154e-08,9.626563681737985e-06,8.701791361674644e-08,nominal,0.9999902743281269,0.9999902743281269,9.638653959391578e-06,8.701791361674644e-08,gnss_chain,nominal,0.9999902743281269,True,False,jump
f20260909110_spoof,spoof,drift_coherent,0.5362441030145211,0.2839075282168726,0.04350587078173882,0.1363424979868675,nominal,0.5362441030145211,0.5362441030145211,0.32741339899861144,0.1363424979868675,gnss_chain,nominal,0.5362441030145211,False,False,jump
f20260909123_spoof,spoof,drift_coherent,0.7617849014851046,0.15016445465346748,0.03033491292352207,0.05771573093790573,nominal,0.7617849014851046,0.7617849014851046,0.18049936757698953,0.05771573093790573,gnss_chain,nominal,0.7617849014851046,False,False,jump
f20260909125_spoof,spoof,drift_incoherent,0.049044403819212504,0.9244499589437123,0.01503197402652315,0.01147366321055218,spoof,0.9244499589437123,0.049044403819212504,0.9394819329702354,0.01147366321055218,gnss_chain,gnss_chain,0.9394819329702354,False,False,jump
f20260909129_spoof,spoof,drift_coherent,0.14256970554619383,0.8367520795368859,0.01744303999900993,0.003235174917910173,spoof,0.8367520795368859,0.14256970554619383,0.8541951195358959,0.003235174917910173,gnss_chain,gnss_chain,0.8541951195358959,False,False,jump
f20260909130_spoof,spoof,drift_incoherent,0.0045582961210637665,0.9920572782567095,0.002274402353513898,0.0011100232687128236,spoof,0.9920572782567095,0.0045582961210637665,0.9943316806102235,0.0011100232687128236,gnss_chain,gnss_chain,0.9943316806102235,False,False,jump
f20260909132_spoof,spoof,drift_coherent,0.8282994301293235,0.08954756708015389,0.025636866936319468,0.05651613585420318,nominal,0.8282994301293235,0.8282994301293235,0.11518443401647335,0.05651613585420318,gnss_chain,nominal,0.8282994301293235,False,False,jump
f20260909143_spoof,spoof,drift_coherent,0.7205950400430884,0.17289559782624578,0.03656669380608959,0.0699426683245763,nominal,0.7205950400430884,0.7205950400430884,0.20946229163233537,0.0699426683245763,gnss_chain,nominal,0.7205950400430884,False,False,jump
f20260909147_spoof,spoof,drift_coherent,0.49246230622866227,0.4284388222106562,0.02972980191034434,0.04936906965033712,nominal,0.49246230622866227,0.49246230622866227,0.45816862412100057,0.04936906965033712,gnss_chain,nominal,0.49246230622866227,False,False,jump
f20260909153_spoof,spoof,drift_incoherent,3.6122118264361524e-05,0.9998272074040802,0.00010340663421561704,3.3263843439997034e-05,spoof,0.9998272074040802,3.6122118264361524e-05,0.9999306140382958,3.3263843439997034e-05,gnss_chain,gnss_chain,0.9999306140382958,False,False,jump
f20260909155_spoof,spoof,drift_coherent,0.17921202191068972,0.7809041568349107,0.019269738458687315,0.020614082795712262,spoof,0.7809041568349107,0.17921202191068972,0.800173895293598,0.020614082795712262,gnss_chain,gnss_chain,0.800173895293598,False,False,jump
