tag,acc,macro_f1,ece,nll,brier,rep,n_train_windows
flight_grouped_split,0.8100852272727272,0.8093179570061921,0.03477968678597029,0.465726312610831,0.2808410415318504,0,11282
random_window_split,0.8888494318181818,0.8857041134228565,0.07789824143124016,0.3176418273186654,0.1840405935096204,0,11282
flight_grouped_split,0.7985376588343863,0.7964133373804203,0.03781827647728012,0.4813073964982795,0.2987762039667213,1,11275
random_window_split,0.8859231915950877,0.8815792514439232,0.07360427378139014,0.3230801382388619,0.18695120232323756,1,11275
flight_grouped_split,0.7861906085023618,0.79691961319816,0.01192747414538462,0.45504083290129854,0.29061001760733174,2,10966
random_window_split,0.8880939149763823,0.8832097420872281,0.07735351924628081,0.3172555945791733,0.18438633234393287,2,10966
flight_grouped_split,0.7927872017652737,0.8099891054988477,0.023174692234902445,0.4596092179912126,0.2930351304733309,3,10860
random_window_split,0.8900841263274031,0.8872497186280426,0.08378927709666639,0.31852905303262385,0.18531034877771474,3,10860
flight_grouped_split,0.80646521433591,0.8006825321977379,0.023655449404024365,0.44939242828330783,0.2773107817822198,4,11132
random_window_split,0.8893183415319748,0.887143452213652,0.08253873068859764,0.31782279708409067,0.18468788365793481,4,11132
