tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha,acc
rule_alpha0.1,fine,gps_degrade,0.9666666666666667,2.066666666666667,0.9,0.0,0.9,0.0,0.9,30,0,rule,0.1,0.7333333333333333
rule_alpha0.1,coarse,gnss_chain,1.0,1.2333333333333334,0.23333333333333334,0.0,0.23333333333333334,0.0,0.23333333333333334,30,0,rule,0.1,0.9333333333333333
rule_alpha0.2,fine,gps_degrade,0.9666666666666667,1.7333333333333334,0.5666666666666667,0.0,0.5666666666666667,0.0,0.5666666666666667,30,0,rule,0.2,0.7333333333333333
rule_alpha0.2,coarse,gnss_chain,1.0,1.2333333333333334,0.23333333333333334,0.0,0.23333333333333334,0.0,0.23333333333333334,30,0,rule,0.2,0.9333333333333333
stacked_alpha0.1,fine,gps_degrade,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,0,stacked,0.1,1.0
stacked_alpha0.1,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,0,stacked,0.1,1.0
stacked_alpha0.2,fine,gps_degrade,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,0,stacked,0.2,1.0
stacked_alpha0.2,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,0,stacked,0.2,1.0
rule_alpha0.1,fine,gps_degrade,0.9666666666666667,1.8,0.5666666666666667,0.0,0.5666666666666667,0.0,0.5666666666666667,30,1,rule,0.1,0.7
rule_alpha0.1,coarse,gnss_chain,0.9333333333333333,1.2666666666666666,0.26666666666666666,0.0,0.26666666666666666,0.0,0.26666666666666666,30,1,rule,0.1,0.9
rule_alpha0.2,fine,gps_degrade,0.8,1.3666666666666667,0.3,0.0,0.3,0.0,0.3,30,1,rule,0.2,0.7
rule_alpha0.2,coarse,gnss_chain,0.9,1.1666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,30,1,rule,0.2,0.9
stacked_alpha0.1,fine,gps_degrade,1.0,1.0666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,30,1,stacked,0.1,0.9333333333333333
stacked_alpha0.1,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,1,stacked,0.1,1.0
stacked_alpha0.2,fine,gps_degrade,0.8,0.8666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,30,1,stacked,0.2,0.9333333333333333
stacked_alpha0.2,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,1,stacked,0.2,1.0
rule_alpha0.1,fine,gps_degrade,0.9,1.7666666666666666,0.5333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333,30,2,rule,0.1,0.4666666666666667
rule_alpha0.1,coarse,gnss_chain,0.8333333333333334,1.3666666666666667,0.36666666666666664,0.0,0.36666666666666664,0.0,0.36666666666666664,30,2,rule,0.1,0.7666666666666667
rule_alpha0.2,fine,gps_degrade,0.5666666666666667,1.1666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.06666666666666667,0.23333333333333334,30,2,rule,0.2,0.4666666666666667
rule_alpha0.2,coarse,gnss_chain,0.7333333333333333,1.0333333333333334,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,30,2,rule,0.2,0.7666666666666667
stacked_alpha0.1,fine,gps_degrade,0.8666666666666667,0.8666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,30,2,stacked,0.1,1.0
stacked_alpha0.1,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,2,stacked,0.1,1.0
stacked_alpha0.2,fine,gps_degrade,0.4666666666666667,0.4666666666666667,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,30,2,stacked,0.2,1.0
stacked_alpha0.2,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,2,stacked,0.2,1.0
rule_alpha0.1,fine,gps_degrade,0.9333333333333333,1.6,0.4666666666666667,0.0,0.4666666666666667,0.03333333333333333,0.5,30,3,rule,0.1,0.4666666666666667
