flight_id,method,family,subtype,onset_s,restore_s,n_alert_episodes,first_alert_s,est_onset_s,onset_error_s,detected_within_60s,early_alert,false_alert
f115936881981907_gps_degrade,rule,gps_degrade,no_fix_then_ok,32.912,57.076,1,30.0,30.0,-2.911999999999999,True,False,
f115936881981907_gps_degrade,cusum,gps_degrade,no_fix_then_ok,32.912,57.076,1,30.0,30.0,-2.911999999999999,True,False,
f125406956954866_gps_degrade,rule,gps_degrade,no_fix_then_ok,34.82,64.044,1,30.0,30.0,-4.82,True,False,
f125406956954866_gps_degrade,cusum,gps_degrade,no_fix_then_ok,34.82,64.044,1,30.0,30.0,-4.82,True,False,
f137476638112559_gps_degrade,rule,gps_degrade,no_fix_then_ok,42.48,77.308,1,37.5,37.5,-4.979999999999997,True,False,
f137476638112559_gps_degrade,cusum,gps_degrade,no_fix_then_ok,42.48,77.308,1,37.5,37.5,-4.979999999999997,True,False,
f138645354163671_gps_degrade,rule,gps_degrade,no_fix_then_ok,33.284,90.98,1,30.0,30.0,-3.283999999999999,True,False,
f138645354163671_gps_degrade,cusum,gps_degrade,no_fix_then_ok,33.284,90.98,1,30.0,30.0,-3.283999999999999,True,False,
f152849246098291_gps_degrade,rule,gps_degrade,no_fix_then_ok,33.184,65.972,4,30.0,30.0,-3.1839999999999975,True,False,
f152849246098291_gps_degrade,cusum,gps_degrade,no_fix_then_ok,33.184,65.972,1,30.0,30.0,-3.1839999999999975,True,False,
f157545489308718_gps_degrade,rule,gps_degrade,no_fix_then_ok,45.632,74.86,1,42.5,42.5,-3.131999999999998,True,False,
f157545489308718_gps_degrade,cusum,gps_degrade,no_fix_then_ok,45.632,74.86,1,42.5,42.5,-3.131999999999998,True,False,
f162578072652318_gps_degrade,rule,gps_degrade,no_fix_then_ok,24.148,67.192,1,20.0,20.0,-4.148,True,False,
f162578072652318_gps_degrade,cusum,gps_degrade,no_fix_then_ok,24.148,67.192,1,20.0,20.0,-4.148,True,False,
f179117136627038_gps_degrade,rule,gps_degrade,no_fix_then_ok,55.156,68.836,2,52.5,52.5,-2.655999999999999,True,False,
f179117136627038_gps_degrade,cusum,gps_degrade,no_fix_then_ok,55.156,68.836,1,52.5,52.5,-2.655999999999999,True,False,
f20260909001_nominal,rule,nominal,none,,,5,95.0,,,,True,True
f20260909001_nominal,cusum,nominal,none,,,1,132.5,,,,True,True
f20260909006_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909006_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909007_nominal,rule,nominal,none,,,1,107.5,,,,True,True
f20260909007_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909013_nominal,rule,nominal,none,,,3,100.0,,,,True,True
f20260909013_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909016_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909016_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909019_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909019_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909022_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909022_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909024_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909024_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909027_nominal,rule,nominal,none,,,0,,,,,False,False
f20260909027_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909028_nominal,rule,nominal,none,,,2,80.0,,,,True,True
f20260909028_nominal,cusum,nominal,none,,,0,,,,,False,False
f20260909029_nominal,rule,nominal,none,,,5,62.5,,,,True,True
