flight_id,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,family,subtype,pred,conf,held_out_subtype
f20260909100_spoof,0.4301256973861949,0.5370820070396899,0.006281795125255688,0.026510500448859456,spoof,jump,spoof,0.5370820070396899,jump
f20260909102_spoof,0.5398665050186766,0.434785606243592,0.00865038569880543,0.016697503038925803,spoof,jump,nominal,0.5398665050186766,jump
f20260909104_spoof,0.5809539383139694,0.38457749619324777,0.009550814641477246,0.024917750851305626,spoof,jump,nominal,0.5809539383139694,jump
f20260909105_spoof,0.47794142425462827,0.49709030800532367,0.010520531531656838,0.014447736208391312,spoof,jump,spoof,0.49709030800532367,jump
f20260909107_spoof,0.8861790215282511,0.07901275770942835,0.011841200138105369,0.02296702062421506,spoof,jump,nominal,0.8861790215282511,jump
f20260909108_spoof,0.4381081221281071,0.5245780153044698,0.009101907617714464,0.028211954949708767,spoof,jump,spoof,0.5245780153044698,jump
f20260909114_spoof,0.9172513742500559,0.03522897642292182,0.007773496726930263,0.03974615260009195,spoof,jump,nominal,0.9172513742500559,jump
f20260909115_spoof,0.45124228079985884,0.514053710950595,0.011328309542020222,0.023375698707525924,spoof,jump,spoof,0.514053710950595,jump
f20260909118_spoof,0.9150700905422079,0.04530543471274895,0.012509789914226997,0.027114684830816124,spoof,jump,nominal,0.9150700905422079,jump
f20260909124_spoof,0.88591780238189,0.0776855024735864,0.01254861563322528,0.023848079511298467,spoof,jump,nominal,0.88591780238189,jump
f20260909125_spoof,0.8146922683357132,0.1640423889314793,0.012720461386014086,0.008544881346793305,spoof,jump,nominal,0.8146922683357132,jump
f20260909130_spoof,0.32675055997130026,0.6477066747564292,0.01007443180254644,0.015468333469724089,spoof,jump,spoof,0.6477066747564292,jump
f20260909132_spoof,0.90680157611665,0.021186133530246332,0.008359115622171672,0.06365317473093186,spoof,jump,nominal,0.90680157611665,jump
f20260909136_spoof,0.4315881766286089,0.5385595825446811,0.011560779129722714,0.0182914616969875,spoof,jump,spoof,0.5385595825446811,jump
f20260909137_spoof,0.5765012971280238,0.3868020430936139,0.010757915161683196,0.025938744616679346,spoof,jump,nominal,0.5765012971280238,jump
f20260909138_spoof,0.7267707032827988,0.23745788194005324,0.012525871342776952,0.023245543434371085,spoof,jump,nominal,0.7267707032827988,jump
f20260909140_spoof,0.8954398937954916,0.06856805690067605,0.01207177549558535,0.023920273808247093,spoof,jump,nominal,0.8954398937954916,jump
f20260909142_spoof,0.669135202781362,0.2937146523286435,0.01164858126213069,0.02550156362786374,spoof,jump,nominal,0.669135202781362,jump
f20260909143_spoof,0.6122205649457637,0.34332260586894153,0.013935471274341539,0.030521357910953336,spoof,jump,nominal,0.6122205649457637,jump
f20260909144_spoof,0.903356975881841,0.061219622773104596,0.00843095376656903,0.026992447578485294,spoof,jump,nominal,0.903356975881841,jump
f20260909145_spoof,0.4408208945687546,0.5322615756895197,0.011371537792052393,0.015545991949673273,spoof,jump,spoof,0.5322615756895197,jump
f20260909152_spoof,0.49671318287973465,0.46972522721821186,0.013578517776782255,0.019983072125271048,spoof,jump,nominal,0.49671318287973465,jump
f20260909154_spoof,0.45818228019944024,0.5093168576781033,0.012851536301561318,0.01964932582089504,spoof,jump,spoof,0.5093168576781033,jump
f20260909159_spoof,0.8546716796451823,0.10289522435154291,0.017525301271564254,0.02490779473171049,spoof,jump,nominal,0.8546716796451823,jump
