coverage,risk,rep,model
0.0125,0.0,0,xgb
0.025,0.0,0,xgb
0.0375,0.0,0,xgb
0.05,0.0,0,xgb
0.0625,0.0,0,xgb
0.075,0.16666666666666663,0,xgb
0.0875,0.1428571428571429,0,xgb
0.1,0.125,0,xgb
0.1125,0.11111111111111116,0,xgb
0.125,0.09999999999999998,0,xgb
0.1375,0.09090909090909094,0,xgb
0.15,0.08333333333333337,0,xgb
0.1625,0.07692307692307687,0,xgb
0.175,0.0714285714285714,0,xgb
0.1875,0.06666666666666665,0,xgb
0.2,0.0625,0,xgb
0.2125,0.05882352941176472,0,xgb
0.225,0.11111111111111116,0,xgb
0.2375,0.10526315789473684,0,xgb
0.25,0.09999999999999998,0,xgb
0.2625,0.09523809523809523,0,xgb
0.275,0.09090909090909094,0,xgb
0.2875,0.08695652173913049,0,xgb
0.3,0.08333333333333337,0,xgb
0.3125,0.07999999999999996,0,xgb
0.325,0.07692307692307687,0,xgb
0.3375,0.07407407407407407,0,xgb
0.35,0.0714285714285714,0,xgb
0.3625,0.10344827586206895,0,xgb
0.375,0.09999999999999998,0,xgb
0.3875,0.09677419354838712,0,xgb
0.4,0.09375,0,xgb
0.4125,0.12121212121212122,0,xgb
0.425,0.11764705882352944,0,xgb
0.4375,0.1428571428571429,0,xgb
0.45,0.13888888888888884,0,xgb
0.4625,0.1351351351351351,0,xgb
0.475,0.1578947368421053,0,xgb
0.4875,0.17948717948717952,0,xgb
0.5,0.17500000000000004,0,xgb
0.5125,0.1707317073170732,0,xgb
0.525,0.19047619047619047,0,xgb
0.5375,0.18604651162790697,0,xgb
0.55,0.18181818181818177,0,xgb
0.5625,0.1777777777777778,0,xgb
0.575,0.17391304347826086,0,xgb
0.5875,0.17021276595744683,0,xgb
0.6,0.16666666666666663,0,xgb
0.6125,0.16326530612244894,0,xgb
0.625,0.16000000000000003,0,xgb
0.6375,0.1568627450980392,0,xgb
0.65,0.15384615384615385,0,xgb
0.6625,0.15094339622641506,0,xgb
0.675,0.16666666666666663,0,xgb
0.6875,0.1636363636363637,0,xgb
0.7,0.1607142857142857,0,xgb
0.7125,0.1578947368421053,0,xgb
0.725,0.15517241379310343,0,xgb
0.7375,0.1694915254237288,0,xgb
0.75,0.16666666666666663,0,xgb
0.7625,0.16393442622950816,0,xgb
0.775,0.17741935483870963,0,xgb
0.7875,0.19047619047619047,0,xgb
0.8,0.1875,0,xgb
0.8125,0.19999999999999996,0,xgb
0.825,0.21212121212121215,0,xgb
0.8375,0.22388059701492535,0,xgb
0.85,0.23529411764705888,0,xgb
0.8625,0.24637681159420288,0,xgb
0.875,0.24285714285714288,0,xgb
0.8875,0.2535211267605634,0,xgb
0.9,0.26388888888888884,0,xgb
0.9125,0.273972602739726,0,xgb
0.925,0.2702702702702703,0,xgb
0.9375,0.2666666666666667,0,xgb
0.95,0.2763157894736842,0,xgb
0.9625,0.2727272727272727,0,xgb
0.975,0.2692307692307693,0,xgb
0.9875,0.26582278481012656,0,xgb
1.0,0.275,0,xgb
0.0125,0.0,0,logreg
0.025,0.0,0,logreg
0.0375,0.0,0,logreg
0.05,0.0,0,logreg
0.0625,0.0,0,logreg
0.075,0.0,0,logreg
0.0875,0.0,0,logreg
0.1,0.0,0,logreg
0.1125,0.0,0,logreg
0.125,0.0,0,logreg
0.1375,0.0,0,logreg
0.15,0.0,0,logreg
0.1625,0.0,0,logreg
0.175,0.0714285714285714,0,logreg
0.1875,0.06666666666666665,0,logreg
0.2,0.125,0,logreg
0.2125,0.17647058823529416,0,logreg
0.225,0.16666666666666663,0,logreg
0.2375,0.1578947368421053,0,logreg
0.25,0.15000000000000002,0,logreg
0.2625,0.1428571428571429,0,logreg
0.275,0.18181818181818177,0,logreg
0.2875,0.21739130434782605,0,logreg
0.3,0.20833333333333337,0,logreg
0.3125,0.19999999999999996,0,logreg
0.325,0.1923076923076923,0,logreg
0.3375,0.2222222222222222,0,logreg
0.35,0.2142857142857143,0,logreg
0.3625,0.2068965517241379,0,logreg
0.375,0.23333333333333328,0,logreg
0.3875,0.22580645161290325,0,logreg
0.4,0.21875,0,logreg
0.4125,0.24242424242424243,0,logreg
0.425,0.2647058823529411,0,logreg
0.4375,0.2571428571428571,0,logreg
0.45,0.2777777777777778,0,logreg
0.4625,0.2702702702702703,0,logreg
0.475,0.26315789473684215,0,logreg
0.4875,0.2564102564102564,0,logreg
0.5,0.275,0,logreg
0.5125,0.2682926829268293,0,logreg
0.525,0.26190476190476186,0,logreg
0.5375,0.2558139534883721,0,logreg
0.55,0.25,0,logreg
0.5625,0.24444444444444446,0,logreg
0.575,0.23913043478260865,0,logreg
0.5875,0.23404255319148937,0,logreg
0.6,0.22916666666666663,0,logreg
0.6125,0.22448979591836737,0,logreg
0.625,0.21999999999999997,0,logreg
0.6375,0.21568627450980393,0,logreg
0.65,0.21153846153846156,0,logreg
0.6625,0.2075471698113207,0,logreg
0.675,0.2222222222222222,0,logreg
0.6875,0.23636363636363633,0,logreg
0.7,0.25,0,logreg
0.7125,0.24561403508771928,0,logreg
0.725,0.2586206896551724,0,logreg
0.7375,0.27118644067796616,0,logreg
0.75,0.2833333333333333,0,logreg
0.7625,0.29508196721311475,0,logreg
0.775,0.30645161290322576,0,logreg
0.7875,0.31746031746031744,0,logreg
0.8,0.328125,0,logreg
0.8125,0.3384615384615385,0,logreg
0.825,0.3484848484848485,0,logreg
0.8375,0.35820895522388063,0,logreg
0.85,0.3529411764705882,0,logreg
0.8625,0.3623188405797102,0,logreg
0.875,0.3571428571428571,0,logreg
0.8875,0.3661971830985915,0,logreg
0.9,0.36111111111111116,0,logreg
0.9125,0.36986301369863017,0,logreg
0.925,0.3783783783783784,0,logreg
0.9375,0.3866666666666667,0,logreg
0.95,0.381578947368421,0,logreg
0.9625,0.38961038961038963,0,logreg
0.975,0.39743589743589747,0,logreg
0.9875,0.3924050632911392,0,logreg
1.0,0.38749999999999996,0,logreg
0.0125,0.0,1,xgb
0.025,0.0,1,xgb
0.0375,0.0,1,xgb
0.05,0.25,1,xgb
0.0625,0.19999999999999996,1,xgb
0.075,0.16666666666666663,1,xgb
0.0875,0.1428571428571429,1,xgb
0.1,0.125,1,xgb
0.1125,0.11111111111111116,1,xgb
0.125,0.09999999999999998,1,xgb
0.1375,0.09090909090909094,1,xgb
0.15,0.08333333333333337,1,xgb
0.1625,0.07692307692307687,1,xgb
0.175,0.0714285714285714,1,xgb
0.1875,0.06666666666666665,1,xgb
0.2,0.0625,1,xgb
0.2125,0.05882352941176472,1,xgb
0.225,0.11111111111111116,1,xgb
0.2375,0.10526315789473684,1,xgb
0.25,0.09999999999999998,1,xgb
0.2625,0.09523809523809523,1,xgb
0.275,0.13636363636363635,1,xgb
0.2875,0.13043478260869568,1,xgb
0.3,0.125,1,xgb
0.3125,0.16000000000000003,1,xgb
0.325,0.15384615384615385,1,xgb
0.3375,0.18518518518518523,1,xgb
0.35,0.1785714285714286,1,xgb
0.3625,0.2068965517241379,1,xgb
0.375,0.19999999999999996,1,xgb
0.3875,0.19354838709677424,1,xgb
0.4,0.1875,1,xgb
0.4125,0.18181818181818177,1,xgb
0.425,0.17647058823529416,1,xgb
0.4375,0.19999999999999996,1,xgb
0.45,0.2222222222222222,1,xgb
0.4625,0.21621621621621623,1,xgb
0.475,0.21052631578947367,1,xgb
0.4875,0.20512820512820518,1,xgb
0.5,0.22499999999999998,1,xgb
0.5125,0.24390243902439024,1,xgb
0.525,0.23809523809523814,1,xgb
0.5375,0.2558139534883721,1,xgb
0.55,0.2727272727272727,1,xgb
0.5625,0.2666666666666667,1,xgb
0.575,0.28260869565217395,1,xgb
0.5875,0.2978723404255319,1,xgb
0.6,0.29166666666666663,1,xgb
0.6125,0.30612244897959184,1,xgb
0.625,0.30000000000000004,1,xgb
0.6375,0.3137254901960784,1,xgb
0.65,0.3076923076923077,1,xgb
0.6625,0.3207547169811321,1,xgb
0.675,0.31481481481481477,1,xgb
0.6875,0.32727272727272727,1,xgb
0.7,0.3214285714285714,1,xgb
0.7125,0.33333333333333337,1,xgb
0.725,0.3448275862068966,1,xgb
0.7375,0.35593220338983056,1,xgb
0.75,0.35,1,xgb
0.7625,0.360655737704918,1,xgb
0.775,0.3548387096774194,1,xgb
0.7875,0.3492063492063492,1,xgb
0.8,0.359375,1,xgb
0.8125,0.36923076923076925,1,xgb
0.825,0.36363636363636365,1,xgb
0.8375,0.35820895522388063,1,xgb
0.85,0.3529411764705882,1,xgb
0.8625,0.34782608695652173,1,xgb
0.875,0.34285714285714286,1,xgb
0.8875,0.3380281690140845,1,xgb
0.9,0.3472222222222222,1,xgb
0.9125,0.34246575342465757,1,xgb
0.925,0.33783783783783783,1,xgb
0.9375,0.3466666666666667,1,xgb
0.95,0.35526315789473684,1,xgb
0.9625,0.36363636363636365,1,xgb
0.975,0.3717948717948718,1,xgb
0.9875,0.36708860759493667,1,xgb
1.0,0.375,1,xgb
0.0125,0.0,1,logreg
0.025,0.0,1,logreg
0.0375,0.0,1,logreg
0.05,0.25,1,logreg
0.0625,0.19999999999999996,1,logreg
0.075,0.33333333333333337,1,logreg
0.0875,0.2857142857142857,1,logreg
0.1,0.25,1,logreg
0.1125,0.2222222222222222,1,logreg
0.125,0.30000000000000004,1,logreg
0.1375,0.2727272727272727,1,logreg
0.15,0.25,1,logreg
0.1625,0.3076923076923077,1,logreg
0.175,0.2857142857142857,1,logreg
0.1875,0.2666666666666667,1,logreg
0.2,0.3125,1,logreg
0.2125,0.2941176470588235,1,logreg
0.225,0.33333333333333337,1,logreg
0.2375,0.3157894736842105,1,logreg
0.25,0.30000000000000004,1,logreg
0.2625,0.2857142857142857,1,logreg
0.275,0.2727272727272727,1,logreg
0.2875,0.26086956521739135,1,logreg
0.3,0.25,1,logreg
0.3125,0.24,1,logreg
0.325,0.23076923076923073,1,logreg
0.3375,0.2222222222222222,1,logreg
0.35,0.2142857142857143,1,logreg
0.3625,0.24137931034482762,1,logreg
0.375,0.23333333333333328,1,logreg
0.3875,0.22580645161290325,1,logreg
0.4,0.21875,1,logreg
0.4125,0.24242424242424243,1,logreg
0.425,0.23529411764705888,1,logreg
0.4375,0.22857142857142854,1,logreg
0.45,0.2222222222222222,1,logreg
0.4625,0.2432432432432432,1,logreg
0.475,0.23684210526315785,1,logreg
0.4875,0.2564102564102564,1,logreg
0.5,0.275,1,logreg
0.5125,0.2682926829268293,1,logreg
0.525,0.26190476190476186,1,logreg
0.5375,0.2558139534883721,1,logreg
0.55,0.2727272727272727,1,logreg
0.5625,0.2666666666666667,1,logreg
0.575,0.28260869565217395,1,logreg
0.5875,0.276595744680851,1,logreg
0.6,0.29166666666666663,1,logreg
0.6125,0.2857142857142857,1,logreg
0.625,0.28,1,logreg
0.6375,0.27450980392156865,1,logreg
0.65,0.28846153846153844,1,logreg
0.6625,0.30188679245283023,1,logreg
0.675,0.31481481481481477,1,logreg
0.6875,0.3090909090909091,1,logreg
0.7,0.3035714285714286,1,logreg
0.7125,0.29824561403508776,1,logreg
0.725,0.2931034482758621,1,logreg
0.7375,0.30508474576271183,1,logreg
0.75,0.30000000000000004,1,logreg
0.7625,0.29508196721311475,1,logreg
0.775,0.29032258064516125,1,logreg
0.7875,0.3015873015873016,1,logreg
0.8,0.296875,1,logreg
0.8125,0.3076923076923077,1,logreg
0.825,0.31818181818181823,1,logreg
0.8375,0.31343283582089554,1,logreg
0.85,0.32352941176470584,1,logreg
0.8625,0.3188405797101449,1,logreg
0.875,0.3285714285714286,1,logreg
0.8875,0.3380281690140845,1,logreg
0.9,0.33333333333333337,1,logreg
0.9125,0.3287671232876712,1,logreg
0.925,0.33783783783783783,1,logreg
0.9375,0.3466666666666667,1,logreg
0.95,0.35526315789473684,1,logreg
0.9625,0.36363636363636365,1,logreg
0.975,0.3717948717948718,1,logreg
0.9875,0.36708860759493667,1,logreg
1.0,0.375,1,logreg
0.0125,0.0,2,xgb
0.025,0.0,2,xgb
0.0375,0.0,2,xgb
0.05,0.0,2,xgb
0.0625,0.19999999999999996,2,xgb
0.075,0.16666666666666663,2,xgb
0.0875,0.2857142857142857,2,xgb
0.1,0.25,2,xgb
0.1125,0.33333333333333337,2,xgb
0.125,0.4,2,xgb
0.1375,0.36363636363636365,2,xgb
0.15,0.33333333333333337,2,xgb
0.1625,0.3076923076923077,2,xgb
0.175,0.2857142857142857,2,xgb
0.1875,0.33333333333333337,2,xgb
0.2,0.3125,2,xgb
0.2125,0.3529411764705882,2,xgb
0.225,0.38888888888888884,2,xgb
0.2375,0.368421052631579,2,xgb
0.25,0.35,2,xgb
0.2625,0.33333333333333337,2,xgb
0.275,0.31818181818181823,2,xgb
0.2875,0.34782608695652173,2,xgb
0.3,0.375,2,xgb
0.3125,0.36,2,xgb
0.325,0.34615384615384615,2,xgb
0.3375,0.33333333333333337,2,xgb
0.35,0.3571428571428571,2,xgb
0.3625,0.3793103448275862,2,xgb
0.375,0.3666666666666667,2,xgb
0.3875,0.3548387096774194,2,xgb
0.4,0.34375,2,xgb
0.4125,0.33333333333333337,2,xgb
0.425,0.32352941176470584,2,xgb
0.4375,0.3142857142857143,2,xgb
0.45,0.33333333333333337,2,xgb
0.4625,0.32432432432432434,2,xgb
0.475,0.3157894736842105,2,xgb
0.4875,0.3076923076923077,2,xgb
0.5,0.32499999999999996,2,xgb
0.5125,0.31707317073170727,2,xgb
0.525,0.33333333333333337,2,xgb
0.5375,0.34883720930232553,2,xgb
0.55,0.34090909090909094,2,xgb
0.5625,0.33333333333333337,2,xgb
0.575,0.34782608695652173,2,xgb
0.5875,0.34042553191489366,2,xgb
0.6,0.33333333333333337,2,xgb
0.6125,0.326530612244898,2,xgb
0.625,0.31999999999999995,2,xgb
0.6375,0.3137254901960784,2,xgb
0.65,0.3076923076923077,2,xgb
0.6625,0.3207547169811321,2,xgb
0.675,0.31481481481481477,2,xgb
0.6875,0.3090909090909091,2,xgb
0.7,0.3035714285714286,2,xgb
0.7125,0.29824561403508776,2,xgb
0.725,0.31034482758620685,2,xgb
0.7375,0.3220338983050848,2,xgb
0.75,0.31666666666666665,2,xgb
0.7625,0.3114754098360656,2,xgb
0.775,0.32258064516129037,2,xgb
0.7875,0.33333333333333337,2,xgb
0.8,0.328125,2,xgb
0.8125,0.3384615384615385,2,xgb
0.825,0.33333333333333337,2,xgb
0.8375,0.32835820895522383,2,xgb
0.85,0.32352941176470584,2,xgb
0.8625,0.33333333333333337,2,xgb
0.875,0.34285714285714286,2,xgb
0.8875,0.3380281690140845,2,xgb
0.9,0.33333333333333337,2,xgb
0.9125,0.3287671232876712,2,xgb
0.925,0.33783783783783783,2,xgb
0.9375,0.3466666666666667,2,xgb
0.95,0.35526315789473684,2,xgb
0.9625,0.36363636363636365,2,xgb
0.975,0.3589743589743589,2,xgb
0.9875,0.36708860759493667,2,xgb
1.0,0.375,2,xgb
0.0125,1.0,2,logreg
0.025,0.5,2,logreg
0.0375,0.6666666666666667,2,logreg
0.05,0.75,2,logreg
0.0625,0.6,2,logreg
0.075,0.6666666666666667,2,logreg
0.0875,0.5714285714285714,2,logreg
0.1,0.5,2,logreg
0.1125,0.4444444444444444,2,logreg
0.125,0.5,2,logreg
0.1375,0.4545454545454546,2,logreg
0.15,0.5,2,logreg
0.1625,0.5384615384615384,2,logreg
0.175,0.5714285714285714,2,logreg
0.1875,0.5333333333333333,2,logreg
0.2,0.5,2,logreg
0.2125,0.47058823529411764,2,logreg
0.225,0.4444444444444444,2,logreg
0.2375,0.42105263157894735,2,logreg
0.25,0.44999999999999996,2,logreg
0.2625,0.4285714285714286,2,logreg
0.275,0.40909090909090906,2,logreg
0.2875,0.4347826086956522,2,logreg
0.3,0.41666666666666663,2,logreg
0.3125,0.4,2,logreg
0.325,0.3846153846153846,2,logreg
0.3375,0.37037037037037035,2,logreg
0.35,0.3571428571428571,2,logreg
0.3625,0.3448275862068966,2,logreg
0.375,0.33333333333333337,2,logreg
0.3875,0.32258064516129037,2,logreg
0.4,0.3125,2,logreg
0.4125,0.303030303030303,2,logreg
0.425,0.2941176470588235,2,logreg
0.4375,0.2857142857142857,2,logreg
0.45,0.2777777777777778,2,logreg
0.4625,0.2702702702702703,2,logreg
0.475,0.26315789473684215,2,logreg
0.4875,0.2564102564102564,2,logreg
0.5,0.275,2,logreg
0.5125,0.29268292682926833,2,logreg
0.525,0.30952380952380953,2,logreg
0.5375,0.3023255813953488,2,logreg
0.55,0.2954545454545454,2,logreg
0.5625,0.3111111111111111,2,logreg
0.575,0.30434782608695654,2,logreg
0.5875,0.3191489361702128,2,logreg
0.6,0.33333333333333337,2,logreg
0.6125,0.326530612244898,2,logreg
0.625,0.31999999999999995,2,logreg
0.6375,0.33333333333333337,2,logreg
0.65,0.34615384615384615,2,logreg
0.6625,0.3584905660377359,2,logreg
0.675,0.35185185185185186,2,logreg
0.6875,0.34545454545454546,2,logreg
0.7,0.3392857142857143,2,logreg
0.7125,0.3508771929824561,2,logreg
0.725,0.3448275862068966,2,logreg
0.7375,0.35593220338983056,2,logreg
0.75,0.35,2,logreg
0.7625,0.34426229508196726,2,logreg
0.775,0.3548387096774194,2,logreg
0.7875,0.3650793650793651,2,logreg
0.8,0.359375,2,logreg
0.8125,0.36923076923076925,2,logreg
0.825,0.36363636363636365,2,logreg
0.8375,0.3731343283582089,2,logreg
0.85,0.38235294117647056,2,logreg
0.8625,0.3913043478260869,2,logreg
0.875,0.4,2,logreg
0.8875,0.3943661971830986,2,logreg
0.9,0.38888888888888884,2,logreg
0.9125,0.3835616438356164,2,logreg
0.925,0.3918918918918919,2,logreg
0.9375,0.4,2,logreg
0.95,0.39473684210526316,2,logreg
0.9625,0.4025974025974026,2,logreg
0.975,0.41025641025641024,2,logreg
0.9875,0.4177215189873418,2,logreg
1.0,0.42500000000000004,2,logreg
0.0125,0.0,3,xgb
0.025,0.0,3,xgb
0.0375,0.0,3,xgb
0.05,0.0,3,xgb
0.0625,0.0,3,xgb
0.075,0.0,3,xgb
0.0875,0.0,3,xgb
0.1,0.125,3,xgb
0.1125,0.11111111111111116,3,xgb
0.125,0.09999999999999998,3,xgb
0.1375,0.09090909090909094,3,xgb
0.15,0.08333333333333337,3,xgb
0.1625,0.07692307692307687,3,xgb
0.175,0.1428571428571429,3,xgb
0.1875,0.1333333333333333,3,xgb
0.2,0.125,3,xgb
0.2125,0.11764705882352944,3,xgb
0.225,0.16666666666666663,3,xgb
0.2375,0.21052631578947367,3,xgb
0.25,0.19999999999999996,3,xgb
0.2625,0.23809523809523814,3,xgb
0.275,0.2272727272727273,3,xgb
0.2875,0.21739130434782605,3,xgb
0.3,0.25,3,xgb
0.3125,0.24,3,xgb
0.325,0.23076923076923073,3,xgb
0.3375,0.2222222222222222,3,xgb
0.35,0.2142857142857143,3,xgb
0.3625,0.2068965517241379,3,xgb
0.375,0.19999999999999996,3,xgb
0.3875,0.22580645161290325,3,xgb
0.4,0.21875,3,xgb
0.4125,0.21212121212121215,3,xgb
0.425,0.20588235294117652,3,xgb
0.4375,0.19999999999999996,3,xgb
0.45,0.19444444444444442,3,xgb
0.4625,0.18918918918918914,3,xgb
0.475,0.1842105263157895,3,xgb
