flight_id,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,family,subtype,pred,conf,held_out_subtype
f20260909101_spoof,0.2524128519222498,0.6955776391286792,0.03632481393544874,0.01568469501362218,spoof,drift_incoherent,spoof,0.6955776391286792,drift_incoherent
f20260909103_spoof,0.24226304065376186,0.6943114765324458,0.041609764313697915,0.021815718500094467,spoof,drift_incoherent,spoof,0.6943114765324458,drift_incoherent
f20260909109_spoof,0.32916554823211336,0.5665664781120736,0.0569240122252623,0.047343961430550655,spoof,drift_incoherent,spoof,0.5665664781120736,drift_incoherent
f20260909110_spoof,0.25907063176170103,0.2865094877948003,0.43372736287298325,0.02069251757051555,spoof,drift_incoherent,gps_degrade,0.43372736287298325,drift_incoherent
f20260909111_spoof,0.2516529830045901,0.6155875796550246,0.1100491721213797,0.022710265219005547,spoof,drift_incoherent,spoof,0.6155875796550246,drift_incoherent
f20260909116_spoof,0.06323926775799062,0.9004816356427778,0.018903440603751605,0.01737565599548009,spoof,drift_incoherent,spoof,0.9004816356427778,drift_incoherent
f20260909119_spoof,0.25556317359625075,0.6963450394766129,0.029293419890863353,0.01879836703627306,spoof,drift_incoherent,spoof,0.6963450394766129,drift_incoherent
f20260909121_spoof,0.2662311052224756,0.5123318501192377,0.17986566773404478,0.041571376924241926,spoof,drift_incoherent,spoof,0.5123318501192377,drift_incoherent
f20260909131_spoof,0.15473242461237083,0.810920627066786,0.013538198480440812,0.020808749840402378,spoof,drift_incoherent,spoof,0.810920627066786,drift_incoherent
f20260909134_spoof,0.15062644966186076,0.7899075559831281,0.03105295508451703,0.02841303927049408,spoof,drift_incoherent,spoof,0.7899075559831281,drift_incoherent
f20260909139_spoof,0.22501037443011385,0.7337513787461126,0.01600606487801461,0.025232181945758866,spoof,drift_incoherent,spoof,0.7337513787461126,drift_incoherent
f20260909147_spoof,0.19663361576680574,0.31517439453743,0.4279731517619359,0.06021883793382827,spoof,drift_incoherent,gps_degrade,0.4279731517619359,drift_incoherent
f20260909148_spoof,0.12934337427274428,0.8383666280837863,0.015473598370497986,0.016816399272971322,spoof,drift_incoherent,spoof,0.8383666280837863,drift_incoherent
f20260909150_spoof,0.12861503835801827,0.6149132152041556,0.24709598460343432,0.009375761834391733,spoof,drift_incoherent,spoof,0.6149132152041556,drift_incoherent
f20260909153_spoof,0.6177859447917063,0.33033088953421386,0.033895060858907415,0.017988104815172493,spoof,drift_incoherent,nominal,0.6177859447917063,drift_incoherent
f20260909157_spoof,0.23041005880073942,0.7452323461544514,0.011567680347966158,0.012789914696842857,spoof,drift_incoherent,spoof,0.7452323461544514,drift_incoherent
f20260909158_spoof,0.20262548219034626,0.38952772689848014,0.39122874070898184,0.01661805020219175,spoof,drift_incoherent,gps_degrade,0.39122874070898184,drift_incoherent
