rep,model,flight_acc,flight_macro_f1,aurc
0,xgb,0.725,0.7356318224553017,0.1458266260514701
0,logreg,0.6125,0.6037393162393163,0.21620112074899323
1,xgb,0.625,0.637003402866154,0.23092621028061125
1,logreg,0.625,0.6316390115368181,0.2721308377277193
2,xgb,0.625,0.6442502532928065,0.3112003159172674
2,logreg,0.575,0.5779776674937965,0.3926677652600545
3,xgb,0.6625,0.6841491841491841,0.20314566553388266
3,logreg,0.5875,0.5758450704225352,0.1845409852540348
4,xgb,0.6625,0.6811846689895471,0.18068068306180998
4,logreg,0.6125,0.5796568627450981,0.20733535724866456
