feature,importance
mag_gap_frac,0.20195237
baro_gap_frac,0.12894063
dv_gps_minus_imu,0.070626006
gps_gap_frac,0.05070676
step_minus_vel_max,0.029170824
inn_gpsHpos0_absmax,0.02723383
mag_raw_std,0.024498297
step_speed_max,0.023869228
inn_baroVpos_absmean,0.018512053
inn_baroVpos_absmax,0.017927008
tr_baroVpos_absmean,0.017899048
gps_baro_dz_rms,0.014854461
mag_norm_std,0.014442491
tr_heading_absmean,0.013596561
inn_heading_absmean,0.013511775
inn_mag1_absmean,0.013339785
inn_gpsHpos1_absmean,0.013294042
gps_ekf_dpos_rms,0.012840808
tr_baroVpos_absmax,0.012574661
inn_gpsVvel_absmean,0.011776739
baro_std,0.01173468
inn_gpsHpos1_absmax,0.011326141
tr_gpsVvel_absmean,0.011317407
baro_raw_std,0.010377428
inn_gpsHvel1_absmean,0.010284718
tr_gpsHpos0_absmean,0.01022452
tr_gpsHpos1_absmean,0.008218953
inn_mag0_absmean,0.008139659
inn_gpsHvel0_absmean,0.007848622
inn_gpsHpos0_absmean,0.007814398
inn_gpsHvel1_absmax,0.0074954084
acc_horiz_rms,0.007411097
inn_mag2_absmean,0.006898874
tr_gpsHpos1_absmax,0.0068818606
tr_gpsHvel0_absmax,0.006552669
inn_gpsVvel_absmax,0.0065247733
mag_norm_mean,0.006496096
tr_gpsHvel1_absmean,0.006356399
tr_mag0_absmax,0.006326174
gps_speed_mean,0.0062227524
posvel_rms,0.0060214736
inn_gpsVpos_absmean,0.005819726
tr_gpsVpos_absmax,0.005779444
inn_gpsHvel0_absmax,0.005735695
tr_gpsHpos0_absmax,0.005616673
tr_mag1_absmean,0.0053073037
tr_mag0_absmean,0.0052712793
tr_gpsHvel0_absmean,0.005153736
tr_gpsVvel_absmax,0.0051407856
inn_mag0_absmax,0.0049250172
inn_gpsVpos_absmax,0.0049135005
tr_gpsVpos_absmean,0.004835041
gyro_std_mean,0.004674638
cog_yaw_absdiff_deg,0.0044713086
tr_gpsHvel1_absmax,0.0044477773
tr_mag1_absmax,0.004364687
inn_mag1_absmax,0.004261925
tr_mag2_absmean,0.004073564
tr_heading_absmax,0.0035779034
inn_mag2_absmax,0.0033861138
inn_heading_absmax,0.0032275196
tr_mag2_absmax,0.002974865
