Aggregate feature,Nominal,Spoof,GNSS degradation,Sensor fault
max_sensor_fault,-0.4217931889000151,-0.3089297719244442,-0.0319458038340477,0.7626687646585067
max_spoof,-0.4455773120939917,0.7121856499356127,-0.0815297160912709,-0.1850786217503502
max_gps_degrade,-0.4155435058572581,0.006827344752938,0.5234354707068768,-0.1147193096025565
baro_gap_frac_max,-0.2514761697416556,-0.1757211367450569,-0.025093487932482,0.4522907944191947
gps_ekf_dpos_rms_max,-0.3928236700175432,0.1041793081872338,0.3672928518794439,-0.0786484900491348
gps_gap_frac_max,-0.1543354413103906,-0.1428983046481417,0.3597597472930029,-0.0625260013344704
posvel_rms_max,-0.3510003648733343,0.1647525631626964,0.25189187413555,-0.0656440724249121
gps_silent_frac_max,-0.1334521434411002,-0.1633474175544675,0.3410983365213227,-0.0442987755257548
run_gps_degrade,-0.1331633467162409,-0.1534200013473997,0.3314944222772666,-0.044911074213626
step_minus_vel_max_max,-0.3312122775780073,0.1293128494855,0.2629855168398166,-0.0610860887473095
run_sensor_fault,-0.1812896519975842,-0.1235528912004285,-0.024937614943635,0.3297801581416478
mag_gap_frac_max,-0.2298869848009756,-0.0876548742362961,-0.0121793031029342,0.3297211621402061
p90_gps_degrade,-0.1479904118611541,-0.0799370366083071,0.2720786992668507,-0.0441512507973895
mean_gps_degrade,-0.1479233934031207,-0.0713126869847744,0.265002474820509,-0.0457663944326136
frac_nominal,0.262942205832001,-0.0944077328888345,-0.0431798425742279,-0.1253546303689388
frac_gps_degrade,-0.1068647407583673,-0.1142786627771303,0.2563811592791273,-0.0352377557436295
gps_baro_dz_rms_max,0.0177185284727722,-0.2115753257562383,0.2559714138402091,-0.0621146165567432
mean_sensor_fault,-0.1363201470698654,-0.0907878319550786,-0.0167899118063618,0.2438978908313061
frac_sensor_fault,-0.1332075618602453,-0.0910011770686638,-0.0193952605152858,0.2436039994441951
mean_nominal,0.2102182544943261,-0.0706135090637431,-0.0461483896523617,-0.0934563557782214
