held_out_family,held_out_subtype,score,auroc_mean,auroc_std,auroc_lo_mean,auroc_hi_mean,mw_p_mean,tpr_at_fpr_mean,withheld_unseen_q95_mean,withheld_seen_q95_mean,best_feature_auroc_mean,best_feature_null_q95_mean,best_feature_perm_p_mean,n_pos_mean,n_neg_mean
gps_degrade,no_fix_then_ok,iforest,0.3189,0.0331,0.1639,0.4738,0.0404,0.0111,0.0556,0.1833,1.0,0.7396,0.005,30.0,20.0
gps_degrade,no_fix_then_ok,mahalanobis,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.15,1.0,0.7396,0.005,30.0,20.0
gps_degrade,no_fix_then_ok,mahalanobis_pca10,0.2967,0.1172,0.1491,0.4442,0.1191,0.0667,0.0889,0.2,1.0,0.7396,0.005,30.0,20.0
gps_degrade,no_fix_then_ok,one_minus_conf,0.6567,0.0725,0.5065,0.8068,0.119,0.2889,,,1.0,0.7396,0.005,30.0,20.0
gps_degrade,off_then_ok,iforest,0.0729,0.0321,0.0022,0.1549,0.0,0.0,0.0208,0.2333,1.0,0.7402,0.005,32.0,20.0
gps_degrade,off_then_ok,mahalanobis,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.1333,1.0,0.7402,0.005,32.0,20.0
gps_degrade,off_then_ok,mahalanobis_pca10,0.0839,0.0239,0.0019,0.1724,0.0,0.0,0.0104,0.1833,1.0,0.7402,0.005,32.0,20.0
gps_degrade,off_then_ok,one_minus_conf,0.9385,0.0274,0.8752,0.9967,0.0,0.7604,,,1.0,0.7402,0.005,32.0,20.0
gps_degrade,stuck_then_ok,iforest,0.9508,0.0203,0.8913,1.0,0.0,0.8571,0.8333,0.1515,1.0,0.7328,0.005,28.0,22.0
gps_degrade,stuck_then_ok,mahalanobis,0.9892,0.0132,0.9648,1.0,0.0,0.9643,0.9405,0.0152,1.0,0.7328,0.005,28.0,22.0
gps_degrade,stuck_then_ok,mahalanobis_pca10,0.9881,0.0179,0.9667,1.0,0.0,0.9524,0.9524,0.0455,1.0,0.7328,0.005,28.0,22.0
gps_degrade,stuck_then_ok,one_minus_conf,0.0368,0.0525,0.0016,0.0837,0.0,0.0119,,,1.0,0.7328,0.005,28.0,22.0
sensor_fault,baro_stuck,iforest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,1.0,0.7922,0.005,29.0,11.0
sensor_fault,baro_stuck,mahalanobis,1.0,0.0,1.0,1.0,0.0,1.0,0.9885,0.0303,1.0,0.7922,0.005,29.0,11.0
sensor_fault,baro_stuck,mahalanobis_pca10,1.0,0.0,1.0,1.0,0.0,1.0,0.9885,0.0606,1.0,0.7922,0.005,29.0,11.0
sensor_fault,baro_stuck,one_minus_conf,0.5193,0.4508,0.4167,0.6339,0.1321,0.2184,,,1.0,0.7922,0.005,29.0,11.0
sensor_fault,mag_stuck,iforest,0.002,0.0034,0.0,0.0128,0.0,0.0,0.0,0.0303,1.0,0.7842,0.005,31.0,11.0
sensor_fault,mag_stuck,mahalanobis,1.0,0.0,1.0,1.0,0.0,1.0,0.9892,0.0,1.0,0.7842,0.005,31.0,11.0
sensor_fault,mag_stuck,mahalanobis_pca10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0606,1.0,0.7842,0.005,31.0,11.0
sensor_fault,mag_stuck,one_minus_conf,0.3832,0.1242,0.1874,0.5789,0.3224,0.0108,,,1.0,0.7842,0.005,31.0,11.0
spoof,drift_coherent,iforest,0.1569,0.0819,0.0257,0.2953,0.0059,0.0,0.0,0.0667,0.9856,0.7988,0.005,17.0,15.0
spoof,drift_coherent,mahalanobis,0.2732,0.1165,0.0995,0.4469,0.1261,0.0196,0.0,0.0444,0.9856,0.7988,0.005,17.0,15.0
spoof,drift_coherent,mahalanobis_pca10,0.3085,0.0729,0.1239,0.4931,0.1088,0.0196,0.0,0.0222,0.9856,0.7988,0.005,17.0,15.0
spoof,drift_coherent,one_minus_conf,0.6693,0.0609,0.4827,0.8558,0.144,0.1176,,,0.9856,0.7988,0.005,17.0,15.0
spoof,drift_incoherent,iforest,0.9177,0.0131,0.8268,1.0,0.0,0.3939,0.1667,0.0,0.9995,0.7802,0.005,22.0,14.0
spoof,drift_incoherent,mahalanobis,0.9037,0.0376,0.8061,0.994,0.0001,0.2576,0.3636,0.0714,0.9995,0.7802,0.005,22.0,14.0
spoof,drift_incoherent,mahalanobis_pca10,0.763,0.084,0.611,0.915,0.0256,0.1364,0.0909,0.0476,0.9995,0.7802,0.005,22.0,14.0
spoof,drift_incoherent,one_minus_conf,0.1353,0.0276,0.007,0.2685,0.0004,0.0303,,,0.9995,0.7802,0.005,22.0,14.0
spoof,jump,iforest,0.486,0.1711,0.2927,0.6792,0.2291,0.0,0.0,0.0256,1.0,0.7846,0.005,21.0,13.0
spoof,jump,mahalanobis,0.5287,0.2023,0.3411,0.7163,0.3474,0.0159,0.0,0.0256,1.0,0.7846,0.005,21.0,13.0
spoof,jump,mahalanobis_pca10,0.2906,0.114,0.1094,0.4717,0.1436,0.0159,0.0,0.0256,1.0,0.7846,0.005,21.0,13.0
spoof,jump,one_minus_conf,0.8193,0.1123,0.6865,0.9451,0.0115,0.2381,,,1.0,0.7846,0.005,21.0,13.0
