feature,importance
mag_gap_frac_rmax3,0.1549594
gps_ekf_dpos_rms_rel,0.077859916
baro_gap_frac,0.07421246
baro_gap_frac_rmax3,0.05476265
baro_gap_frac_d1,0.05345971
mag_gap_frac_d1,0.03361871
mag_gap_frac,0.03222215
gps_gap_frac_rmax3,0.028054796
gps_ekf_dpos_rms,0.02752457
gps_gap_frac,0.02668369
gps_baro_dz_rms,0.021871988
gps_baro_dz_rms_rel,0.02032693
gps_gap_frac_d1,0.01714775
inn_gpsHpos0_absmax,0.013463875
tr_gpsHpos0_absmax_rmax3,0.012635805
mag_norm_mean_rel,0.010127259
inn_heading_absmean,0.009135928
tr_heading_absmax_d1,0.008934361
inn_gpsVvel_absmax,0.008765006
mag_raw_std,0.008710551
inn_gpsHpos0_absmax_rmax3,0.008657217
tr_baroVpos_absmax_rmax3,0.00863626
posvel_rms_d1,0.007986375
mag_norm_std_rel,0.007749924
mag_norm_mean,0.007510999
inn_mag0_absmean,0.007391768
posvel_rms_rmax3,0.0070217727
mag_norm_std,0.006496659
tr_mag1_absmax,0.0060084914
tr_baroVpos_absmax,0.0059914794
mag_raw_std_rel,0.005750085
baro_std_rel,0.005548421
gps_baro_dz_rms_d1,0.005445732
tr_baroVpos_absmean,0.0047678966
baro_raw_std_d1,0.00473351
inn_gpsHpos0_absmax_rel,0.0047144713
step_speed_max_rmax3,0.004706234
tr_gpsVvel_absmax,0.004636096
inn_baroVpos_absmax,0.004447122
baro_raw_std_rmax3,0.004441619
step_speed_max,0.004423965
tr_gpsVvel_absmean,0.004385685
cog_yaw_absdiff_deg,0.0040425635
posvel_rms_rel,0.0040127365
baro_std,0.0038462947
acc_horiz_rms_rel,0.0038323633
dv_gps_minus_imu_rmax3,0.003806381
inn_gpsVpos_absmean,0.003790511
inn_gpsVvel_absmean,0.003707603
tr_mag0_absmax,0.003661306
tr_mag1_absmean,0.0036133986
tr_gpsHpos1_absmax_rmax3,0.003603345
inn_gpsHpos0_absmean,0.0036021464
tr_gpsVpos_absmean,0.0035378162
posvel_rms,0.0035252166
inn_mag1_absmax,0.0034381377
tr_gpsHvel0_absmax_rmax3,0.0032691427
inn_gpsHvel0_absmax_rmax3,0.0032466503
baro_raw_std_rel,0.0031609703
tr_gpsHpos0_absmean,0.0031488466
baro_raw_std,0.0031152018
dv_gps_minus_imu,0.003107833
inn_heading_absmax_rel,0.0030995884
gps_speed_mean,0.0030962639
gyro_std_mean_rel,0.0029854134
gps_ekf_dpos_rms_rmax3,0.0028563838
inn_baroVpos_absmax_rel,0.0028368277
tr_gpsVpos_absmax_rmax3,0.0028068486
tr_gpsHpos1_absmax,0.0027289754
tr_gpsHvel0_absmean,0.0027180563
step_minus_vel_max,0.002696678
gps_baro_dz_rms_rmax3,0.0026855501
tr_mag0_absmean,0.0026845257
acc_horiz_rms,0.0025607867
inn_gpsHvel0_absmean,0.002443302
tr_baroVpos_absmax_d1,0.0023918373
tr_heading_absmax,0.0023661817
inn_gpsHvel0_absmax_rel,0.002326405
tr_gpsVpos_absmax,0.0022666715
inn_gpsHvel1_absmax,0.0022238868
inn_heading_absmax,0.0022134818
mag_raw_std_rmax3,0.0021936013
inn_gpsVpos_absmax,0.002144554
inn_baroVpos_absmean,0.0020758903
tr_gpsHpos1_absmean,0.0020403967
tr_gpsHvel1_absmax,0.002034362
mag_raw_std_d1,0.001986803
dv_gps_minus_imu_d1,0.0019852556
step_speed_max_d1,0.0019383006
step_minus_vel_max_rmax3,0.0019132341
gps_ekf_dpos_rms_d1,0.0019063634
inn_gpsHpos0_absmax_d1,0.00189378
inn_gpsHpos1_absmean,0.0018730619
tr_heading_absmax_rmax3,0.0018429493
inn_gpsHpos1_absmax,0.0018377367
inn_gpsHvel0_absmax_d1,0.0017253826
tr_gpsHvel0_absmax,0.0015710454
tr_mag2_absmax,0.0015290795
inn_mag2_absmean,0.0015272051
step_minus_vel_max_d1,0.0015107589
gyro_std_mean,0.0014665385
tr_gpsHpos0_absmax,0.0014551025
inn_mag1_absmean,0.0014506648
inn_gpsHvel0_absmax,0.0013880386
tr_gpsHpos0_absmax_d1,0.0013286442
inn_mag0_absmax,0.001312142
inn_gpsHvel1_absmean,0.0012722516
tr_gpsHvel1_absmean,0.0012418323
inn_mag2_absmax,0.0012372757
tr_mag2_absmean,0.0012106305
tr_heading_absmean,0.0011344489
tr_gpsHvel0_absmax_d1,0.0010677485
tr_gpsHpos1_absmax_d1,0.0009983383
tr_gpsVpos_absmax_d1,0.00092118565
