coverage,risk,rep,aggregation
0.0125,0.0,0,rule
0.025,0.0,0,rule
0.0375,0.0,0,rule
0.05,0.0,0,rule
0.0625,0.0,0,rule
0.075,0.0,0,rule
0.0875,0.0,0,rule
0.1,0.0,0,rule
0.1125,0.0,0,rule
0.125,0.0,0,rule
0.1375,0.0,0,rule
0.15,0.08333333333333337,0,rule
0.1625,0.07692307692307687,0,rule
0.175,0.0714285714285714,0,rule
0.1875,0.06666666666666665,0,rule
0.2,0.0625,0,rule
0.2125,0.05882352941176472,0,rule
0.225,0.05555555555555558,0,rule
0.2375,0.052631578947368474,0,rule
0.25,0.050000000000000044,0,rule
0.2625,0.09523809523809523,0,rule
0.275,0.09090909090909094,0,rule
0.2875,0.08695652173913049,0,rule
0.3,0.08333333333333337,0,rule
0.3125,0.07999999999999996,0,rule
0.325,0.07692307692307687,0,rule
0.3375,0.07407407407407407,0,rule
0.35,0.0714285714285714,0,rule
0.3625,0.10344827586206895,0,rule
0.375,0.09999999999999998,0,rule
0.3875,0.09677419354838712,0,rule
0.4,0.125,0,rule
0.4125,0.12121212121212122,0,rule
0.425,0.1470588235294118,0,rule
0.4375,0.1428571428571429,0,rule
0.45,0.13888888888888884,0,rule
0.4625,0.1351351351351351,0,rule
0.475,0.13157894736842102,0,rule
0.4875,0.1282051282051282,0,rule
0.5,0.15000000000000002,0,rule
0.5125,0.14634146341463417,0,rule
0.525,0.1428571428571429,0,rule
0.5375,0.16279069767441856,0,rule
0.55,0.18181818181818177,0,rule
0.5625,0.19999999999999996,0,rule
0.575,0.21739130434782605,0,rule
0.5875,0.21276595744680848,0,rule
0.6,0.22916666666666663,0,rule
0.6125,0.24489795918367352,0,rule
0.625,0.24,0,rule
0.6375,0.23529411764705888,0,rule
0.65,0.23076923076923073,0,rule
0.6625,0.2264150943396226,0,rule
0.675,0.2407407407407407,0,rule
0.6875,0.23636363636363633,0,rule
0.7,0.2321428571428571,0,rule
0.7125,0.24561403508771928,0,rule
0.725,0.24137931034482762,0,rule
0.7375,0.23728813559322037,0,rule
0.75,0.23333333333333328,0,rule
0.7625,0.24590163934426235,0,rule
0.775,0.24193548387096775,0,rule
0.7875,0.23809523809523814,0,rule
0.8,0.234375,0,rule
0.8125,0.24615384615384617,0,rule
0.825,0.25757575757575757,0,rule
0.8375,0.25373134328358204,0,rule
0.85,0.2647058823529411,0,rule
0.8625,0.2753623188405797,0,rule
0.875,0.27142857142857146,0,rule
0.8875,0.2816901408450704,0,rule
0.9,0.29166666666666663,0,rule
