,nominal,spoof,gps_degrade,sensor_fault
max_nominal,0.1335480405307787,-0.019554325562649952,0.04349868195620964,-0.15749239692433845
p90_nominal,-0.08865804153547578,0.27047278596288554,0.02741906960780058,-0.20923381403521063
mean_nominal,0.1637408012172923,-0.04677306747624194,-0.06353140633104376,-0.053436327410006715
frac_nominal,0.2733299514335894,-0.15192770695508145,-0.08414813063559776,-0.037254113842910365
run_nominal,-0.020519895001130193,0.11735195806294688,-0.010166378035740414,-0.08666568502607634
max_spoof,-0.3826550482130761,0.675482404728134,-0.11391703154507825,-0.17891032496997977
p90_spoof,0.005289222942089842,0.11547958348781061,-0.0316593818857871,-0.08910942454411322
mean_spoof,-0.045639404846152025,0.15580893716572974,-0.06351817285533523,-0.04665135946424225
frac_spoof,-0.1567791141984563,0.2620936666450013,-0.04334465473005096,-0.06196989771649364
run_spoof,-0.1445978818785967,0.24443183007205643,-0.03957244779422123,-0.06026150039923844
max_gps_degrade,-0.4961353331057591,0.07826621865994253,0.5128229006753672,-0.0949537862295506
p90_gps_degrade,-0.055326831514743796,-0.09757829183556374,0.17796865148805968,-0.02506352813775235
mean_gps_degrade,-0.1632194905788472,-0.1868469780809521,0.4021824903867277,-0.05211602172692875
frac_gps_degrade,-0.12456172816507899,-0.2464389688909238,0.41861610092572443,-0.047615403869721545
run_gps_degrade,-0.12451580118145761,-0.22082556821264232,0.39086323260717154,-0.04552186321307179
max_sensor_fault,-0.39874996246840666,-0.28454787993171404,-0.060601290979058954,0.7438991333791795
p90_sensor_fault,-0.07603414500678704,-0.040701402396834764,-0.017095944752318435,0.13383149215594015
mean_sensor_fault,-0.12906531321000542,-0.08641077355395499,-0.02515713252723102,0.24063321929119136
frac_sensor_fault,-0.1286089234846557,-0.08272282264159378,-0.025485522413355485,0.2368172685396051
run_sensor_fault,-0.16821881849558254,-0.11206420010924527,-0.032745250181307896,0.31302826878613543
gps_gap_frac_max,-0.18503647125094114,-0.19679930670544346,0.4382998325405445,-0.05646405458415974
baro_gap_frac_max,-0.16386854606148202,-0.15652373455648685,-0.03325772204232949,0.3536500026602982
mag_gap_frac_max,-0.30908347487679877,-0.10857837282477598,-0.041364206381805164,0.4590260540833796
posvel_rms_max,-0.3085065756805527,0.20638357572657667,0.16906239536458173,-0.0669393954106062
step_minus_vel_max_max,-0.2895893082194435,0.1832176893953592,0.1702383887763178,-0.06386676995223352
gps_ekf_dpos_rms_max,-0.3117383897431555,0.20809507658026258,0.16850415619670372,-0.06486084303381105
gps_baro_dz_rms_max,-0.02897356809298914,-0.05646921475330943,0.08717554351835147,-0.0017327606720530337
tr_gpsHpos0_absmax_max,-0.08083156337474136,-0.02904592080889361,0.13984089768038618,-0.029963413496751433
tr_baroVpos_absmax_max,-0.003430575038276006,-0.08099426334943517,0.08811710769150646,-0.0036922693037953003
tr_heading_absmax_max,-0.07701307078177402,0.010516019304045946,-0.004884808338904253,0.07138185981663216
