rep,model,T,tag,acc,macro_f1,ece,nll,brier
0,xgb,1.6765719911205013,raw,0.8161218908712072,0.8074962673805943,0.04964755319953136,0.4977239249058646,0.28258244851753406
0,xgb,1.6765719911205013,temp_scaled,0.8161218908712072,0.8074962673805943,0.053156325770284,0.4719473285184531,0.28263639909332094
0,logreg,1.3503120235730346,raw,0.7154577418934757,0.7206823214691978,0.040774376288743294,0.6608846041170123,0.3865724084875049
0,logreg,1.3503120235730346,temp_scaled,0.7154577418934757,0.7206823214691978,0.08195008213913256,0.6712948291661172,0.39483840985400537
1,xgb,1.8196651180476198,raw,0.7475655430711611,0.758989371866556,0.12286280176815667,0.656974493138315,0.38694258014999505
1,xgb,1.8196651180476198,temp_scaled,0.7475655430711611,0.758989371866556,0.04197034762907813,0.5597322699307087,0.3546158930186054
1,logreg,1.5720933597325846,raw,0.5907615480649189,0.6550602308893801,0.13736294519732,0.9789842762903213,0.51359075480589
1,logreg,1.5720933597325846,temp_scaled,0.5907615480649189,0.6550602308893801,0.07161649151918933,0.8825177242553641,0.4851342209911538
2,xgb,1.408415420037914,raw,0.7253046409126264,0.732319552637107,0.12179159922227954,0.7418824553136474,0.4228217953734197
2,xgb,1.408415420037914,temp_scaled,0.7253046409126264,0.732319552637107,0.07742216427561316,0.6473017627974866,0.40288334333354314
2,logreg,1.2414343698313497,raw,0.6064298677728804,0.6356943989095116,0.1283347375514719,1.842735583390284,0.550055714300451
2,logreg,1.2414343698313497,temp_scaled,0.6064298677728804,0.6356943989095116,0.11052494854763639,1.604077056471352,0.5405743653289458
3,xgb,1.3167228165636695,raw,0.7958343726615116,0.8146484713931086,0.03589329282120051,0.48039814389184043,0.29432207381358555
3,xgb,1.3167228165636695,temp_scaled,0.7958343726615116,0.8146484713931086,0.01889819698864386,0.4685652562376949,0.29223268779312744
3,logreg,1.7331237408305602,raw,0.6369418807682714,0.691790176097789,0.09209022304916467,0.7955236443821261,0.4767371306346451
3,logreg,1.7331237408305602,temp_scaled,0.6369418807682714,0.691790176097789,0.07777657852598238,0.7545796725750918,0.4604412775382039
4,xgb,1.4555052481413893,raw,0.788836749814769,0.8089117862797828,0.043253373188890845,0.4952682280355427,0.30434563661479097
4,xgb,1.4555052481413893,temp_scaled,0.788836749814769,0.8089117862797828,0.027318193675978805,0.48117630273116063,0.30122115634857727
4,logreg,1.6590410567589868,raw,0.6780686589281304,0.700070374253448,0.04139383550057717,0.7722284716520824,0.42509737354867605
4,logreg,1.6590410567589868,temp_scaled,0.6780686589281304,0.700070374253448,0.09265729951375566,0.7570515420409104,0.4356318297988645
