flight_id,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,family,subtype,pred,conf
f20260909002_nominal,0.37320195403744805,0.6050429020161086,0.00500516747886397,0.016749976467579326,nominal,none,spoof,0.6050429020161086
f20260909003_nominal,0.5652878593902414,0.4179436384591598,0.00483034407063345,0.011938158079965216,nominal,none,nominal,0.5652878593902414
f20260909008_nominal,0.7044927755567676,0.2742920700811164,0.004789389200269194,0.016425765161846854,nominal,none,nominal,0.7044927755567676
f20260909009_nominal,0.6198866789178378,0.3644082510116213,0.0033471045040742156,0.012357965566466695,nominal,none,nominal,0.6198866789178378
f20260909010_nominal,0.6181564505404699,0.361732027780001,0.004549353398173134,0.015562168281355999,nominal,none,nominal,0.6181564505404699
f20260909014_nominal,0.46698669731957093,0.5081630421301923,0.00544288458084689,0.01940737596938997,nominal,none,spoof,0.5081630421301923
f20260909015_nominal,0.5975322802836712,0.388555377152948,0.0045192030926478255,0.009393139470732788,nominal,none,nominal,0.5975322802836712
f20260909016_nominal,0.5035761708881207,0.4709164684480447,0.004042711905142326,0.021464648758692462,nominal,none,nominal,0.5035761708881207
f20260909023_nominal,0.6024587083395953,0.3817363923760061,0.005994126511309094,0.009810772773089527,nominal,none,nominal,0.6024587083395953
f20260909024_nominal,0.7015051134876694,0.2806571130576517,0.003575890454489253,0.014261883000189648,nominal,none,nominal,0.7015051134876694
f20260909029_nominal,0.21328085796758922,0.7665553005583903,0.004524451146938759,0.0156393903270818,nominal,none,spoof,0.7665553005583903
f20260909030_nominal,0.6828171682953181,0.303989412487341,0.0034516995110501084,0.009741719706290718,nominal,none,nominal,0.6828171682953181
f20260909034_nominal,0.48770997396498617,0.49336411082826837,0.0056665023670837,0.013259412839661705,nominal,none,spoof,0.49336411082826837
f20260909036_nominal,0.6526780462687894,0.33068779147330346,0.0035987586976597755,0.013035403560247313,nominal,none,nominal,0.6526780462687894
f20260909039_nominal,0.588408930621429,0.39369909751073673,0.0032655740814998818,0.014626397786334407,nominal,none,nominal,0.588408930621429
f20260909048_nominal,0.4332094578746571,0.5469671869324442,0.004377036825198467,0.015446318367700287,nominal,none,spoof,0.5469671869324442
f20260909050_nominal,0.5919511708333532,0.3888542433326833,0.006356015186342248,0.01283857064762124,nominal,none,nominal,0.5919511708333532
f20260909053_nominal,0.5992291886349732,0.3740730518517793,0.006739055907496394,0.019958703605751103,nominal,none,nominal,0.5992291886349732
f20260909054_nominal,0.54405244871127,0.4374193040786633,0.0046359180891558,0.013892329120910828,nominal,none,nominal,0.54405244871127
f20260909058_nominal,0.4974909346980828,0.48040448711475875,0.004064880737435079,0.01803969744972342,nominal,none,nominal,0.4974909346980828
f20260909100_spoof,0.011957070543762435,0.9770333737751166,0.005215957843142546,0.005793597837978502,spoof,drift_incoherent,spoof,0.9770333737751166
f20260909103_spoof,0.04129767075110189,0.9395789828841287,0.010022339491653185,0.009101006873116215,spoof,drift_incoherent,spoof,0.9395789828841287
f20260909104_spoof,0.6830199681903122,0.3032051362145725,0.005949281659262307,0.007825613935852899,spoof,jump,nominal,0.6830199681903122
f20260909106_spoof,0.011787597074834011,0.9710000349712806,0.007678433086033689,0.00953393486785175,spoof,drift_incoherent,spoof,0.9710000349712806
f20260909110_spoof,0.35094493472455024,0.6179001137540344,0.008932321531700463,0.022222629989714703,spoof,drift_coherent,spoof,0.6179001137540344
f20260909112_spoof,0.36673713404178854,0.6151292138731679,0.005583145680406806,0.012550506404636605,spoof,jump,spoof,0.6151292138731679
f20260909113_spoof,0.5642029887057172,0.4142430039820762,0.005542838362104871,0.016011168950101597,spoof,jump,nominal,0.5642029887057172
f20260909114_spoof,0.1153955085059497,0.8481536222541355,0.019718359829387556,0.01673250941052722,spoof,drift_incoherent,spoof,0.8481536222541355
f20260909115_spoof,0.5922320402395017,0.3951355942371682,0.003052661987857866,0.009579703535472068,spoof,jump,nominal,0.5922320402395017
f20260909117_spoof,0.17215583335399887,0.807917241502559,0.006548190178458372,0.013378734964983782,spoof,drift_coherent,spoof,0.807917241502559
f20260909119_spoof,0.039243031373660184,0.935386389842755,0.011475221888453438,0.013895356895131173,spoof,drift_incoherent,spoof,0.935386389842755
f20260909120_spoof,0.5977083783056215,0.3854602017701627,0.0048964132835925675,0.01193500664062316,spoof,jump,nominal,0.5977083783056215
f20260909127_spoof,0.4762441194408429,0.5066873930883115,0.005012312984071912,0.012056174486773688,spoof,jump,spoof,0.5066873930883115
f20260909130_spoof,0.018702656069671243,0.9368241684500745,0.037110139825721054,0.007363035654533038,spoof,drift_incoherent,spoof,0.9368241684500745
f20260909140_spoof,0.052363513050137034,0.893296654840039,0.037505522181660485,0.01683430992816339,spoof,drift_incoherent,spoof,0.893296654840039
f20260909142_spoof,0.026648686197384145,0.9420957282230459,0.020020459447511,0.011235126132058997,spoof,drift_incoherent,spoof,0.9420957282230459
f20260909145_spoof,0.4942327761283592,0.4890402634909094,0.004941482664427865,0.011785477716303651,spoof,jump,nominal,0.4942327761283592
f20260909150_spoof,0.08373376593169592,0.9017115960452337,0.004863427346015706,0.009691210677054684,spoof,drift_coherent,spoof,0.9017115960452337
f20260909153_spoof,0.04153372236589878,0.9289665881108057,0.024090439266594276,0.005409250256701125,spoof,drift_incoherent,spoof,0.9289665881108057
f20260909157_spoof,0.16065977107670648,0.6665671800519334,0.16361654917867882,0.009156499692681248,spoof,drift_incoherent,spoof,0.6665671800519334
f20260909202_gps_degrade,0.26178768202101116,0.3062836229204844,0.4198952691483026,0.012033425910201848,gps_degrade,off_then_ok,gps_degrade,0.4198952691483026
f20260909203_gps_degrade,0.00047031609999316026,0.26590465521844736,0.7246598226978718,0.008965205983687765,gps_degrade,off_then_ok,gps_degrade,0.7246598226978718
f20260909212_gps_degrade,0.000453656939290345,0.3543871386019818,0.6316769766709578,0.01348222778777005,gps_degrade,off_then_ok,gps_degrade,0.6316769766709578
f20260909216_gps_degrade,0.6797602917601689,0.303209632275488,0.00617203302965405,0.010858042934688918,gps_degrade,off_then_ok,nominal,0.6797602917601689
f20260909217_gps_degrade,0.011859911306650796,0.35155354889960483,0.6309440358759322,0.005642503917812028,gps_degrade,stuck_then_ok,gps_degrade,0.6309440358759322
f20260909218_gps_degrade,0.0006638221269655304,0.34448149619264484,0.6447020730094745,0.010152608670915202,gps_degrade,off_then_ok,gps_degrade,0.6447020730094745
f20260909220_gps_degrade,0.0005851124099728484,0.30125550455921446,0.684839713722639,0.013319669308173897,gps_degrade,off_then_ok,gps_degrade,0.684839713722639
f20260909222_gps_degrade,0.36150091577419585,0.5895720528152614,0.034750353243212226,0.014176678167330472,gps_degrade,stuck_then_ok,spoof,0.5895720528152614
f20260909224_gps_degrade,0.006855315732451408,0.3243421612717242,0.6552862702302303,0.013516252765594027,gps_degrade,off_then_ok,gps_degrade,0.6552862702302303
f20260909225_gps_degrade,0.2406640845296935,0.29746473538560225,0.45086410373170943,0.01100707635299473,gps_degrade,off_then_ok,gps_degrade,0.45086410373170943
f20260909228_gps_degrade,0.8195205564967829,0.09600671669575428,0.05666414435645579,0.027808582451007046,gps_degrade,stuck_then_ok,nominal,0.8195205564967829
f20260909230_gps_degrade,0.3295534275907893,0.32459046832699306,0.3391710346356757,0.006685069446541953,gps_degrade,stuck_then_ok,gps_degrade,0.3391710346356757
f20260909231_gps_degrade,0.0005114924957382433,0.27237061360956977,0.719407973665934,0.007709920228758017,gps_degrade,off_then_ok,gps_degrade,0.719407973665934
f20260909235_gps_degrade,0.11272405154798766,0.32948554354237614,0.5420954693224602,0.01569493558717606,gps_degrade,stuck_then_ok,gps_degrade,0.5420954693224602
f20260909237_gps_degrade,0.00042142630357901444,0.0831416339725083,0.9143317875843172,0.0021051521395954926,gps_degrade,off_then_ok,gps_degrade,0.9143317875843172
f20260909244_gps_degrade,0.41799214495213044,0.45970028960682696,0.10585176794590925,0.016455797495133376,gps_degrade,stuck_then_ok,spoof,0.45970028960682696
f20260909245_gps_degrade,0.4383441102963814,0.42193799706131224,0.12842937300832571,0.011288519633980726,gps_degrade,off_then_ok,nominal,0.4383441102963814
f20260909251_gps_degrade,0.009210754257502904,0.42396911155227096,0.5601754783391372,0.00664465585108888,gps_degrade,stuck_then_ok,gps_degrade,0.5601754783391372
f20260909253_gps_degrade,0.6346034352219264,0.3373876292916275,0.005966667390276024,0.02204226809616994,gps_degrade,off_then_ok,nominal,0.6346034352219264
f20260909257_gps_degrade,0.48478518595551723,0.47237515948939973,0.0304761283725117,0.012363526182571397,gps_degrade,stuck_then_ok,nominal,0.48478518595551723
