feature,importance
mag_gap_frac,0.1453577
gps_ekf_dpos_rms,0.1289856
baro_gap_frac,0.12859371
gps_gap_frac,0.06643251
gps_baro_dz_rms,0.043993898
mag_raw_std,0.019564798
inn_gpsHpos0_absmax,0.018725382
mag_norm_std,0.018673074
posvel_rms,0.018286724
tr_baroVpos_absmax,0.017229704
mag_norm_mean,0.016626835
tr_gpsVvel_absmax,0.015824312
inn_heading_absmean,0.015324143
inn_gpsVvel_absmax,0.014674786
step_speed_max,0.014468741
tr_baroVpos_absmean,0.013969259
dv_gps_minus_imu,0.013856226
inn_baroVpos_absmax,0.013577008
tr_gpsHpos0_absmean,0.013569881
baro_std,0.0126445135
inn_gpsVpos_absmean,0.010650777
inn_mag0_absmean,0.009833249
tr_gpsHpos0_absmax,0.009639057
tr_mag1_absmax,0.008389526
inn_gpsHpos0_absmean,0.007944443
tr_mag0_absmax,0.007830277
inn_mag1_absmax,0.007651914
baro_raw_std,0.0073932703
tr_gpsHpos1_absmax,0.0071833045
cog_yaw_absdiff_deg,0.0071276417
tr_gpsHvel0_absmean,0.006931786
inn_gpsHvel1_absmax,0.0067992443
tr_mag0_absmean,0.006782388
acc_horiz_rms,0.006652901
inn_gpsVvel_absmean,0.0064771986
tr_mag1_absmean,0.0063155396
tr_gpsVpos_absmax,0.006247585
inn_mag1_absmean,0.0059218025
inn_gpsHpos1_absmax,0.0056864205
tr_heading_absmax,0.0054902076
gyro_std_mean,0.0054737288
inn_gpsVpos_absmax,0.005426023
tr_gpsHvel0_absmax,0.005407972
tr_gpsVpos_absmean,0.0053842226
gps_speed_mean,0.005377862
inn_mag2_absmean,0.0051561897
tr_gpsVvel_absmean,0.005027022
inn_heading_absmax,0.0050030746
tr_gpsHpos1_absmean,0.004979059
step_minus_vel_max,0.0048468527
inn_gpsHvel0_absmean,0.0047379243
inn_baroVpos_absmean,0.004713426
inn_gpsHpos1_absmean,0.0045407084
tr_gpsHvel1_absmax,0.004400312
tr_heading_absmean,0.0042275083
inn_gpsHvel1_absmean,0.0041101207
tr_mag2_absmean,0.004087671
tr_mag2_absmax,0.0040581073
tr_gpsHvel1_absmean,0.0040261624
inn_gpsHvel0_absmax,0.0039398563
inn_mag2_absmax,0.0039097737
inn_mag0_absmax,0.0038391314
