flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,held_out_subtype
f20260909104_spoof,spoof,jump,0.510611040420797,0.12809363792850334,0.29755710077295433,0.06373822087774524,nominal,0.510611040420797,jump
f20260909109_spoof,spoof,jump,0.07582817984009461,0.8197318451947891,0.09502577091891383,0.00941420404620236,spoof,0.8197318451947891,jump
f20260909112_spoof,spoof,jump,0.12895432504601345,0.5089838849484901,0.33353541218770283,0.028526377817793533,spoof,0.5089838849484901,jump
f20260909113_spoof,spoof,jump,0.4570713043524267,0.058701926007217374,0.42193315718011143,0.06229361246024445,nominal,0.4570713043524267,jump
f20260909115_spoof,spoof,jump,0.37967633574731013,0.1134451449319563,0.4531528534427953,0.05372566587793837,gps_degrade,0.4531528534427953,jump
f20260909120_spoof,spoof,jump,0.4869868967073344,0.09159272678803651,0.35686429883550164,0.06455607766912737,nominal,0.4869868967073344,jump
f20260909122_spoof,spoof,jump,0.39102142877786034,0.06913819546542986,0.48250292343292384,0.05733745232378601,gps_degrade,0.48250292343292384,jump
f20260909124_spoof,spoof,jump,0.5827832378646456,0.01705419110948021,0.3945027184685371,0.005659852557337033,nominal,0.5827832378646456,jump
f20260909126_spoof,spoof,jump,0.2882770332975848,0.16802343966694036,0.4836796784948954,0.060019848540579505,gps_degrade,0.4836796784948954,jump
f20260909127_spoof,spoof,jump,0.2777383981386311,0.13536145009454467,0.5442442550513439,0.042655896715480396,gps_degrade,0.5442442550513439,jump
f20260909131_spoof,spoof,jump,0.5512720300993346,0.09512206524505093,0.3060461522980499,0.0475597523575647,nominal,0.5512720300993346,jump
f20260909134_spoof,spoof,jump,0.334289873063066,0.551520484179218,0.0949226421335326,0.019267000624183375,spoof,0.551520484179218,jump
f20260909136_spoof,spoof,jump,0.0640312356629781,0.7629293512989384,0.16083951953616604,0.012199893501917518,spoof,0.7629293512989384,jump
f20260909137_spoof,spoof,jump,0.4148504883727795,0.15471039907971823,0.37121950308889157,0.05921960945861064,nominal,0.4148504883727795,jump
f20260909138_spoof,spoof,jump,0.48518774742796,0.15173412160509986,0.3124803002411089,0.050597830725831176,nominal,0.48518774742796,jump
f20260909139_spoof,spoof,jump,0.4355072478382407,0.05948792466547662,0.4463090798346867,0.05869574766159591,gps_degrade,0.4463090798346867,jump
f20260909141_spoof,spoof,jump,0.2620193561029988,0.02389739998677511,0.706955366064455,0.007127877845771124,gps_degrade,0.706955366064455,jump
f20260909145_spoof,spoof,jump,0.3451354539661941,0.21749010504582011,0.3953098572937973,0.0420645836941885,gps_degrade,0.3953098572937973,jump
f20260909146_spoof,spoof,jump,0.31986185508749265,0.17463078347388847,0.4589965736315578,0.046510787807060916,gps_degrade,0.4589965736315578,jump
f20260909148_spoof,spoof,jump,0.5814579082230859,0.06603697954642605,0.3108429502919507,0.041662161938537334,nominal,0.5814579082230859,jump
f20260909156_spoof,spoof,jump,0.28595505846692015,0.26634665417208797,0.4077525530874603,0.039945734273531576,gps_degrade,0.4077525530874603,jump
